NEEDS_FIXING,PRONOUNCE,SYLLABARY
,de:hatǔ:gā,ᏕᎭᏚᎦ
*,de:higowhtíha,ᏕᎯᎪwᏘᎭ
,de:higò:wahtā,ᏕᎯᎪᏩᏔ
,de:hihyé,ᏕᎯᏰ
,de:hihyé:ʔa,ᏕᎯᏰᎠ
,de:hisdǐ:gā,ᏕᎯᏍᏗᎦ
,de:hohlga,ᏕᎰꮅᎦ
,de:hohlgā,ᏕᎰꮅᎦ
,de:hà:di:tasgó,ᏕᎭᏗᏔᏍᎪ
,de:hà:di:tasgó:ʔi,ᏕᎭᏗᏔᏍᎪᎢ
,de:hàtǔ:gía,ᏕᎭᏚᎩᎠ
,de:hìhlǐ:sā,ᏕᎯᏟᏌ
,de:hìsdǐ:gî:sgó,ᏕᎯᏍᏗᎩᏍᎪ
,de:hìsdǐ:gî:sgó:ʔi,ᏕᎯᏍᏗᎩᏍᎪᎢ
,de:hídu:hvsgó,ᏕᎯᏚᎲᏍᎪ
,de:hídu:hvsgó:ʔi,ᏕᎯᏚᎲᏍᎪᎢ
,de:híhli:sǐ:sgó,ᏕᎯᏟᏏᏍᎪ
,de:híhli:sǐ:sgóʔi,ᏕᎯᏟᏏᏍᎪᎢ
,de:jago:hv̌,ᏕᏣᎪᎲ
,de:jago:hv̌:ʔi,ᏕᏣᎪᎲᎢ
,de:jaha,ᏕᏣᎭ
,de:jaha gu:le.,ᏕᏣᎭ ᎫᎴ.
,de:jahv̌,ᏕᏣᎲ
,de:jahv̌:ʔi,ᏕᏣᎲᎢ
,de:jahyá:ʔv̌,ᏕᏣᏯᎥ
,de:jahyá:ʔv̌:ʔi,ᏕᏣᏯᎥᎢ
,de:jahé:sdi,ᏕᏣᎮᏍᏗ
,de:jahó,ᏕᏣᎰ
,de:jahó:ʔi,ᏕᏣᎰᎢ
,de:jaká wahya.,ᏕᏣᎧ ᏩᏯ.
,de:jakáha,ᏕᏣᎧᎭ
,de:jakáha wahaya.,ᏕᏣᎧᎭ ᏩᎭᏯ.
,de:jane:hé:sdi,ᏕᏣᏁᎮᏍᏗ
,de:jane:hó,ᏕᏣᏁᎰ
,de:jane:hó:ʔi,ᏕᏣᏁᎰᎢ
*,de:janhta,ᏕᏣnᏔ
*,de:janhté:sdi,ᏕᏣnᏖᏍᏗ
,de:janáv̌,ᏕᏣᎾᎥ
,de:janáv̌:ʔi,ᏕᏣᎾᎥᎢ
,de:janáó,ᏕᏣᎾᎣ
,de:janáó:ʔi,ᏕᏣᎾᎣᎢ
*,de:jigowhtǐ:sgó,ᏕᏥᎪwᏘᏍᎪ
*,de:jigowhtǐ:sgóʔi,ᏕᏥᎪwᏘᏍᎪᎢ
,de:jigò:wahtā,ᏕᏥᎪᏩᏔ
,de:jisdǐ:gā,ᏕᏥᏍᏗᎦ
,de:jiyagā,ᏕᏥᏯᎦ
,de:jiyé,ᏕᏥᏰ
,de:jiyé:sgó,ᏕᏥᏰᏍᎪ
,de:jiyé:sgó:ʔi,ᏕᏥᏰᏍᎪᎢ
,de:jiyé:ʔa,ᏕᏥᏰᎠ
,de:johljv̌,ᏕᏦꮅᏨ
,de:johljv̌:ʔi,ᏕᏦꮅᏨᎢ
,de:jv̂:ya,ᏕᏨᏯ
,de:jv̌:yó,ᏕᏨᏲ
,de:jv̌:yóʔi,ᏕᏨᏲᎢ
,de:jàsdí:gv̌,ᏕᏣᏍᏗᎬ
,de:jàsdí:gv̌:ʔi,ᏕᏣᏍᏗᎬᎢ
,de:jìhlǐ:sā,ᏕᏥᏟᏌ
,de:jìsdǐ:gíʔa,ᏕᏥᏍᏗᎩᎠ
,de:jídu:hvsgó,ᏕᏥᏚᎲᏍᎪ
,de:jídu:hvsgó:ʔi,ᏕᏥᏚᎲᏍᎪᎢ
,de:jídu:hv́sga,ᏕᏥᏚᎲᏍᎦ
,de:jíhli:síha,ᏕᏥᏟᏏᎭ
,de:jíhli:sǐ:sgó,ᏕᏥᏟᏏᏍᎪ
,de:jíhli:sǐ:sgóʔi,ᏕᏥᏟᏏᏍᎪᎢ
,de:jù:di:tahv̌,ᏕᏧᏗᏔᎲ
,de:jù:di:tahv̌:ʔi,ᏕᏧᏗᏔᎲᎢ
,de:sda:dǐ:tā,ᏕᏍᏓᏗᏔ
,de:sdada:dohlgó,ᏕᏍᏓᏓᏙꮅᎪ
,de:sdada:dohlgó:ʔi,ᏕᏍᏓᏓᏙꮅᎪᎢ
,de:sdada:dohljv̌,ᏕᏍᏓᏓᏙꮅᏨ
,de:sdada:dohljv̌:ʔi,ᏕᏍᏓᏓᏙꮅᏨᎢ
,de:sdada:go:hv̌,ᏕᏍᏓᏓᎪᎲ
,de:sdada:go:hv̌:ʔi,ᏕᏍᏓᏓᎪᎲᎢ
,de:sdada:gò:wahtā,ᏕᏍᏓᏓᎪᏩᏔ
,de:sdadadu:lv:hv̌,ᏕᏍᏓᏓᏚᎸᎲ
,de:sdadadu:lv:hv̌:ʔi,ᏕᏍᏓᏓᏚᎸᎲᎢ
,de:sdadadu:líha,ᏕᏍᏓᏓᏚᎵᎭ
,de:sdatǔ:gā,ᏕᏍᏓᏚᎦ
,de:sdi:go:hv̌,ᏕᏍᏗᎪᎲ
,de:sdi:go:hv̌:ʔi,ᏕᏍᏗᎪᎲᎢ
,de:sdi:gò:wahtā,ᏕᏍᏗᎪᏩᏔ
,de:sdi:ha,ᏕᏍᏗᎭ
,de:sdi:hv̌,ᏕᏍᏗᎲ
,de:sdi:hv̌:ʔi,ᏕᏍᏗᎲᎢ
,de:sdi:hyá:ʔv̌,ᏕᏍᏗᏯᎥ
,de:sdi:hyá:ʔv̌:ʔi,ᏕᏍᏗᏯᎥᎢ
,de:sdi:hyé,ᏕᏍᏗᏰ
,de:sdi:hyé:ʔa,ᏕᏍᏗᏰᎠ
,de:sdi:hé:sdi,ᏕᏍᏗᎮᏍᏗ
,de:sdi:hó,ᏕᏍᏗᎰ
,de:sdi:hó:ʔi,ᏕᏍᏗᎰᎢ
,de:sdi:káha,ᏕᏍᏗᎧᎭ
,de:sdi:ne:hv̌,ᏕᏍᏗᏁᎲ
,de:sdi:ne:hv̌:ʔi,ᏕᏍᏗᏁᎲᎢ
,de:sdi:ne:hó,ᏕᏍᏗᏁᎰ
,de:sdi:ne:hó:ʔi,ᏕᏍᏗᏁᎰᎢ
,de:sdi:náó,ᏕᏍᏗᎾᎣ
,de:sdi:náó:ʔi,ᏕᏍᏗᎾᎣᎢ
,de:sdi:náʔa,ᏕᏍᏗᎾᎠ
,de:sdi:sdǐ:gā,ᏕᏍᏗᏍᏗᎦ
,de:sdi:tade:gv̀:gā,ᏕᏍᏗᏔᏕᎬᎦ
,de:sdi:tade:gâ:nv̌,ᏕᏍᏗᏔᏕᎦᏅ
,de:sdi:tade:gâ:nv̌:ʔi,ᏕᏍᏗᏔᏕᎦᏅᎢ
,de:sdi:tade:gí,ᏕᏍᏗᏔᏕᎩ
,de:sdi:tade:gí:sgó,ᏕᏍᏗᏔᏕᎩᏍᎪ
,de:sdi:tade:gí:sgó:ʔi,ᏕᏍᏗᏔᏕᎩᏍᎪᎢ
,de:sdi:tade:gí:ʔa,ᏕᏍᏗᏔᏕᎩᎠ
,de:sdi:yò:sǐ:sā,ᏕᏍᏗᏲᏏᏌ
,de:sdi:yó:siha,ᏕᏍᏗᏲᏏᎭ
,de:sdohlga,ᏕᏍᏙꮅᎦ
,de:sdohljv̌,ᏕᏍᏙꮅᏨ
,de:sdohljv̌:ʔi,ᏕᏍᏙꮅᏨᎢ
,de:sdv̂:ya,ᏕᏍᏛᏯ
,de:sdv̌:yó,ᏕᏍᏛᏲ
,de:sdv̌:yóʔi,ᏕᏍᏛᏲᎢ
,de:sdàtǔ:gî:sv̌,ᏕᏍᏓᏚᎩᏒ
,de:sdàtǔ:gî:sv̌:ʔi,ᏕᏍᏓᏚᎩᏒᎢ
,de:sdì:sdí:gv̌,ᏕᏍᏗᏍᏗᎬ
,de:sdì:sdí:gv̌:ʔi,ᏕᏍᏗᏍᏗᎬᎢ
,de:sdù:di:tahv̌,ᏕᏍᏚᏗᏔᎲ
,de:sdù:di:tahv̌:ʔi,ᏕᏍᏚᏗᏔᎲᎢ
,de:wa.,ᏕᏩ.
,dego:hwe:lv̋.,ᏕᎪᏪᎸ.
,di:de:hyǒ:hv.,ᏗᏕᏲᎲ.
,"di:de:hyǒ:hvsgi, go:hí i:ga ő:sda:dv̀ di:sésdi go:lì:ga!","ᏗᏕᏲᎲᏍᎩ, ᎪᎯ ᎢᎦ ᎣᏍᏓᏛ ᏗᏎᏍᏗ ᎪᎵᎦ!"
,di:de:hyǒ:hvsgi.,ᏗᏕᏲᎲᏍᎩ.
,di:dihnó:gi.,ᏗᏗᏃᎩ.
,di:dǎ:hne.,ᏗᏓᏁ.
,di:dǎ:hnehdi.,ᏗᏓᏁᏗ.
*,di:jv̋ysdi dù:du:líha go:hí i:ga.,ᏗᏨyᏍᏗ ᏚᏚᎵᎭ ᎪᎯ ᎢᎦ.
*,di:jv̋ysdi.,ᏗᏨyᏍᏗ.
,di:l,Ꮧꮅ
,di:li.,ᏗᎵ.
,di:ni:hala̋:da.,ᏗᏂᎭᎳᏓ.
,di:ni:hale̋:na.,ᏗᏂᎭᎴᎾ.
,di:ni:hale̋:ni.,ᏗᏂᎭᎴᏂ.
,di:ni:yő:hli.,ᏗᏂᏲᏟ.
*,di:sadv́:d de:higowhtí,ᏗᏌᏛd ᏕᎯᎪwᏘ
*,di:sadv́:d dǔ:ha,ᏗᏌᏛd ᏚᎭ
*,di:sadv́:d dǔ:ha.,ᏗᏌᏛd ᏚᎭ.
*,di:sadv́:di de:higowhtíha,ᏗᏌᏛᏗ ᏕᎯᎪwᏘᎭ
,di:sadv́:di dǔ:ha,ᏗᏌᏛᏗ ᏚᎭ
,di:sadv́:di dǔ:ha.,ᏗᏌᏛᏗ ᏚᎭ.
,di:sésdi nidì:díwa.,ᏗᏎᏍᏗ ᏂᏗᏗᏩ.
,di:sésdi nidì:díwi.,ᏗᏎᏍᏗ ᏂᏗᏗᏫ.
,di:sésdi nidì:níwa.,ᏗᏎᏍᏗ ᏂᏗᏂᏩ.
,di:sésdi nidì:níwi.,ᏗᏎᏍᏗ ᏂᏗᏂᏫ.
,di:sésdi.,ᏗᏎᏍᏗ.
,dida:dǐ:ta,ᏗᏓᏗᏔ
,didada:dohlgi,ᏗᏓᏓᏙꮅᎩ
,didada:gò:wahta,ᏗᏓᏓᎪᏩᏔ
*,didadaktǒ:sda,ᏗᏓᏓkᏙᏍᏓ
,didaha:lige̋:ʔi nǔ:na,ᏗᏓᎭᎵᎨᎢ ᏄᎾ
*,didaktǒ:sda,ᏗᏓkᏙᏍᏓ
,didalǒ:níge̋:ʔi nv̀:ya,ᏗᏓᎶᏂᎨᎢ ᏅᏯ
,didatǔ:gi,ᏗᏓᏚᎩ
,didi:gò:wahta,ᏗᏗᎪᏩᏔ
,didi:hyaga,ᏗᏗᏯᎦ
,didi:sdǐ,ᏗᏗᏍᏗ
,didi:sdǐ:ga,ᏗᏗᏍᏗᎦ
,didohlgi,ᏗᏙꮅᎩ
,didì:hlǐ:sa,ᏗᏗᏟᏌ
,didǐ:yé:li.,ᏗᏗᏰᎵ.
,didǐ:yé:li:hi.,ᏗᏗᏰᎵᎯ.
,diga:di:tasdi,ᏗᎦᏗᏔᏍᏗ
,diga:liʔi,ᏗᎦᎵᎢ
,diga:sgil dà:gwadu:lí,ᏗᎦᏍᎩꮅ ᏓᏆᏚᎵ
,diga:sgilo dà:gwadu:líha,ᏗᎦᏍᎩᎶ ᏓᏆᏚᎵᎭ
,digada:do:hlísdi,ᏗᎦᏓᏙᏟᏍᏗ
*,digada:gowhtv́hdi,ᏗᎦᏓᎪwᏛᏗ
,digadadǔ:la,ᏗᎦᏓᏚᎳ
*,digadaktǒ:sdóhdi,ᏗᎦᏓkᏙᏍᏙᏗ
,digaduhldi,ᏗᎦᏚꮅᏗ
,digaje:li̋,ᏗᎦᏤᎵ
,digaje:li̋:ʔi,ᏗᎦᏤᎵᎢ
,digatǔ:gî:sdi,ᏗᎦᏚᎩᏍᏗ
*,digi:gowhtv́hdi,ᏗᎩᎪwᏛᏗ
,digi:hyè:sdi,ᏗᎩᏰᏍᏗ
,digi:kóhdi,ᏗᎩᎪᏗ
,digi:sdǐ:gî:sdi,ᏗᎩᏍᏗᎩᏍᏗ
,digina:di:tasdi,ᏗᎩᎾᏗᏔᏍᏗ
,digina:liʔi,ᏗᎩᎾᎵᎢ
,diginada:do:hlísdi,ᏗᎩᎾᏓᏙᏟᏍᏗ
*,diginada:gowhtv́hdi,ᏗᎩᎾᏓᎪwᏛᏗ
,diginadaduhldi,ᏗᎩᎾᏓᏚꮅᏗ
,diginadadǔ:la,ᏗᎩᎾᏓᏚᎳ
,diginaduhldi,ᏗᎩᎾᏚꮅᏗ
,diginaje:li̋,ᏗᎩᎾᏤᎵ
,diginaje:li̋:ʔi,ᏗᎩᎾᏤᎵᎢ
,diginatǔ:gî:sdi,ᏗᎩᎾᏚᎩᏍᏗ
*,digini:gowhtv́hdi,ᏗᎩᏂᎪwᏛᏗ
,digini:hyè:sdi,ᏗᎩᏂᏰᏍᏗ
,digini:nehdi,ᏗᎩᏂᏁᏗ
,digini:sdǐ:gî:sdi,ᏗᎩᏂᏍᏗᎩᏍᏗ
,digini:yò:sǐ:sa,ᏗᎩᏂᏲᏏᏌ
,digino:hlísdi,ᏗᎩᏃᏟᏍᏗ
,diginì:hlǐ:sóhdi,ᏗᎩᏂᏟᏐᏗ
,digo:hlísdi,ᏗᎪᏟᏍᏗ
,digo:hwe:la nidì:díwa.,ᏗᎪᏪᎳ ᏂᏗᏗᏩ.
,digo:hwe:la nidì:díwi.,ᏗᎪᏪᎳ ᏂᏗᏗᏫ.
,digo:hwe:la nidì:níwa.,ᏗᎪᏪᎳ ᏂᏗᏂᏩ.
,digo:hwe:la nidì:níwi.,ᏗᎪᏪᎳ ᏂᏗᏂᏫ.
,digo:hwe:li à:niwásga maga.,ᏗᎪᏪᎵ ᎠᏂᏩᏍᎦ ᎹᎦ.
*,digoːhweːl juwoːdű àgwanht.,ᏗᎪᏪꮅ ᏧᏬᏚ ᎠᏆnt.
*,digoːhweːli juwoːdűːhi àgwanhta.,ᏗᎪᏪᎵ ᏧᏬᏚᎯ ᎠᏆnᏔ.
,digv̌:hnáge̋ nv̀:ya,ᏗᎬᎿᎨ ᏅᏯ
,digwe:hlu:sdi.,ᏗᏇᏡᏍᏗ.
,digwe:lu:sdi.,ᏗᏇᎷᏍᏗ.
,digwé:nv̀:sv̋ gé.,ᏗᏇᏅᏒ Ꭸ.
,digwé:nv̀:sv̋ gé:ga.,ᏗᏇᏅᏒ ᎨᎦ.
,digwé:nv̀:sv̋:ʔi gé:ga.,ᏗᏇᏅᏒᎢ ᎨᎦ.
*,digì:tdi,ᏗᎩtᏗ
,digǐ:ge ale dijéʔiyű:sdi dà:gi di:jv̋sdi.,ᏗᎩᎨ ᎠᎴ ᏗᏤᎢᏳᏍᏗ ᏓᎩ ᏗᏨᏍᏗ.
,digǐ:gáge ale dijéʔiyű:sdi dà:gi di:jv̋sdi.,ᏗᎩᎦᎨ ᎠᎴ ᏗᏤᎢᏳᏍᏗ ᏓᎩ ᏗᏨᏍᏗ.
,digǐ:gáge̋ go:hű:sdi,ᏗᎩᎦᎨ ᎪᎱᏍᏗ
,digǐ:gáge̋ gő:sdi,ᏗᎩᎦᎨ ᎪᏍᏗ
,dija:di:tasdi,ᏗᏣᏗᏔᏍᏗ
,dija:dǐ:ta,ᏗᏣᏗᏔ
,dija:liʔi,ᏗᏣᎵᎢ
,dijada:do:hlísdi,ᏗᏣᏓᏙᏟᏍᏗ
,dijada:dohlgi,ᏗᏣᏓᏙꮅᎩ
*,dijada:gowhtv́hdi,ᏗᏣᏓᎪwᏛᏗ
,dijada:gò:wahta,ᏗᏣᏓᎪᏩᏔ
,dijadaduhldi,ᏗᏣᏓᏚꮅᏗ
*,dijadaktǒ:sda,ᏗᏣᏓkᏙᏍᏓ
*,dijadaktǒ:sdóhdi,ᏗᏣᏓkᏙᏍᏙᏗ
*,dijagowhtv́hdi,ᏗᏣᎪwᏛᏗ
,dijahyè:sdi,ᏗᏣᏰᏍᏗ
,dijaje:li̋,ᏗᏣᏤᎵ
,dijaje:li̋:ʔi,ᏗᏣᏤᎵᎢ
*,dijaktǒ:sda,ᏗᏣkᏙᏍᏓ
,dijaliʔi,ᏗᏣᎵᎢ
,dijasdǐ:gî:sdi,ᏗᏣᏍᏗᎩᏍᏗ
,dijatǔ:gi,ᏗᏣᏚᎩ
,dijatǔ:gî:sdi,ᏗᏣᏚᎩᏍᏗ
,dije̋ nǔ:na,ᏗᏤ ᏄᎾ
*,diji:gowhtv́hdi,ᏗᏥᎪwᏛᏗ
,diji:gò:wahta,ᏗᏥᎪᏩᏔ
,diji:hyaga,ᏗᏥᏯᎦ
,diji:hyè:sdi,ᏗᏥᏰᏍᏗ
,diji:sdǐ,ᏗᏥᏍᏗ
,diji:sdǐ:ga,ᏗᏥᏍᏗᎦ
,diji:sdǐ:gî:sdi,ᏗᏥᏍᏗᎩᏍᏗ
,dijo:hlísdi,ᏗᏦᏟᏍᏗ
,dijohlgi,ᏗᏦꮅᎩ
,dijv̋sdohdi dù:du:líha go:hí i:ga.,ᏗᏨᏍᏙᏗ ᏚᏚᎵᎭ ᎪᎯ ᎢᎦ.
,dijv̋sdohdi.,ᏗᏨᏍᏙᏗ.
,dijàhlǐ:sóhdi,ᏗᏣᏟᏐᏗ
,dijé:nv̀:sv̋ hé.,ᏗᏤᏅᏒ Ꭾ.
,dijé:nv̀:sv̋ hé:ga.,ᏗᏤᏅᏒ ᎮᎦ.
,dijé:nv̀:sv̋:ʔi hé:ga.,ᏗᏤᏅᏒᎢ ᎮᎦ.
,dijé:ʔiyű:sdi di:sadv́:di,ᏗᏤᎢᏳᏍᏗ ᏗᏌᏛᏗ
,dijì:hlǐ:sóhdi,ᏗᏥᏟᏐᏗ
,dinada:dohlgi,ᏗᎾᏓᏙꮅᎩ
,dinada:gò:wahta,ᏗᎾᏓᎪᏩᏔ
*,dinadaktǒ:sda,ᏗᎾᏓkᏙᏍᏓ
,dinǐ:yé:li.,ᏗᏂᏰᎵ.
,dinǐ:yé:li:hi.,ᏗᏂᏰᎵᎯ.
,disakǒ:níge̋ gu:le,ᏗᏌᎪᏂᎨ ᎫᎴ
,disda:di:tasdi,ᏗᏍᏓᏗᏔᏍᏗ
,disda:dǐ:ta,ᏗᏍᏓᏗᏔ
,disda:liʔi,ᏗᏍᏓᎵᎢ
,disdada:do:hlísdi,ᏗᏍᏓᏓᏙᏟᏍᏗ
,disdada:dohlgi,ᏗᏍᏓᏓᏙꮅᎩ
*,disdada:gowhtv́hdi,ᏗᏍᏓᏓᎪwᏛᏗ
,disdada:gò:wahta,ᏗᏍᏓᏓᎪᏩᏔ
,disdadaduhldi,ᏗᏍᏓᏓᏚꮅᏗ
*,disdadaktǒ:sda,ᏗᏍᏓᏓkᏙᏍᏓ
,disdaje:li̋,ᏗᏍᏓᏤᎵ
,disdaje:li̋:ʔi,ᏗᏍᏓᏤᎵᎢ
,disdatǔ:gi,ᏗᏍᏓᏚᎩ
,disdatǔ:gî:sdi,ᏗᏍᏓᏚᎩᏍᏗ
,disdayo:hi.,ᏗᏍᏓᏲᎯ.
*,disdi:gowhtv́hdi,ᏗᏍᏗᎪwᏛᏗ
,disdi:gò:wahta,ᏗᏍᏗᎪᏩᏔ
,disdi:kóhdi,ᏗᏍᏗᎪᏗ
,disdi:nehdi,ᏗᏍᏗᏁᏗ
,disdi:sdǐ,ᏗᏍᏗᏍᏗ
,disdi:sdǐ:ga,ᏗᏍᏗᏍᏗᎦ
,disdi:sdǐ:gî:sdi,ᏗᏍᏗᏍᏗᎩᏍᏗ
,disdi:tade:gv̀,ᏗᏍᏗᏔᏕᎬ
,disdi:tade:gv̀:ga,ᏗᏍᏗᏔᏕᎬᎦ
,disdi:yò:sǐ:sa,ᏗᏍᏗᏲᏏᏌ
,disdigo:lǐ:ya.,ᏗᏍᏗᎪᎵᏯ.
,disdo:hlísdi,ᏗᏍᏙᏟᏍᏗ
,disdo:hwe:lv̀:ga,ᏗᏍᏙᏪᎸᎦ
,disdohlgi,ᏗᏍᏙꮅᎩ
,disdà:tv:dà:sda,ᏗᏍᏓᏛᏓᏍᏓ
,disdì:hlǐ:sa,ᏗᏍᏗᏟᏌ
*,disdì:tdi,ᏗᏍᏗtᏗ
,disésdi.,ᏗᏎᏍᏗ.
,dla:me:ha.,ᏜᎺᎭ.
,dla:nú:si.,ᏜᏄᏏ.
*,dluhgv̋ jigowhtí,ᏡᎬ ᏥᎪwᏘ
*,dluhgv̋:ʔi jigowhtíha,ᏡᎬᎢ ᏥᎪwᏘᎭ
,do:hiyű.,ᏙᎯᏳ.
,do:s,ᏙᏍ
,do:sa.,ᏙᏌ.
,do:sv̌:dáʔl,ᏙᏒᏓꮅ
,do:sv̌:dáʔli.,ᏙᏒᏓᎵ.
*,do:y,Ꮩy
,do:ya dù:ni:ká,ᏙᏯ ᏚᏂᎧ
,do:ya dù:ni:ká.,ᏙᏯ ᏚᏂᎧ.
,do:ya dù:ni:káha,ᏙᏯ ᏚᏂᎧᎭ
,do:ya dù:ni:káha.,ᏙᏯ ᏚᏂᎧᎭ.
,do:ya hla yà:gikáha.,ᏙᏯ Ꮭ ᏯᎩᎧᎭ.
,do:ya jaká,ᏙᏯ ᏣᎧ
,do:ya jaká.,ᏙᏯ ᏣᎧ.
,do:ya jakáha,ᏙᏯ ᏣᎧᎭ
,do:ya jakáha.,ᏙᏯ ᏣᎧᎭ.
,do:ya.,ᏙᏯ.
,do:yű.,ᏙᏳ.
,dodada:go:hv:ʔi,ᏙᏓᏓᎪᎲᎢ
,dodada:go:hv:ʔi.,ᏙᏓᏓᎪᎲᎢ.
,dodada:go:hv̄.,ᏙᏓᏓᎪᎲ.
,donada:go:hv:ʔi,ᏙᎾᏓᎪᎲᎢ
,donada:go:hv:ʔi.,ᏙᎾᏓᎪᎲᎢ.
,donada:go:hv̄.,ᏙᎾᏓᎪᎲ.
,du:go:hv̌,ᏚᎪᎲ
,du:go:hv̌:ʔi,ᏚᎪᎲᎢ
,du:ha,ᏚᎭ
,du:hv̌:ʔi,ᏚᎲᎢ
,du:hé:sdi,ᏚᎮᏍᏗ
,du:hó:ʔi,ᏚᎰᎢ
*,du:lì:sd kaʔla.,ᏚᎵᏍd ᎧᎳ.
,du:lì:sdi kaʔla.,ᏚᎵᏍᏗ ᎧᎳ.
,du:ne:hv̌,ᏚᏁᎲ
,du:ne:hv̌:ʔi,ᏚᏁᎲᎢ
,du:ne:hó,ᏚᏁᎰ
,du:ne:hó:ʔi,ᏚᏁᎰᎢ
*,du:nhtv̌,ᏚnᏛ
*,du:nhtv̌:ʔi,ᏚnᏛᎢ
*,du:nhté:sdi,ᏚnᏖᏍᏗ
*,du:nhtó,ᏚnᏙ
*,du:nhtó:ʔi,ᏚnᏙᎢ
,du:náó:ʔi,ᏚᎾᎣᎢ
,du:náʔa,ᏚᎾᎠ
,du:wa:kahé:sdi,ᏚᏩᎧᎮᏍᏗ
,du:wa:kahó,ᏚᏩᎧᎰ
,du:wa:kahó:ʔi,ᏚᏩᎧᎰᎢ
,du:wohljv̌,ᏚᏬꮅᏨ
,du:wohljv̌:ʔi,ᏚᏬꮅᏨᎢ
,du:wá:du:hnv̌,ᏚᏩᏚᏅ
,du:wá:du:hnv̌:ʔi,ᏚᏩᏚᏅᎢ
,du:wá:hli:sahnv̌,ᏚᏩᏟᏌᏅ
,du:wá:hli:sahnv̌:ʔi,ᏚᏩᏟᏌᏅᎢ
,du:wù:di:tahv̌,ᏚᏭᏗᏔᎲ
,du:wù:di:tahv̌:ʔi,ᏚᏭᏗᏔᎲᎢ
,duwǎ:yê:sdi,ᏚᏩᏰᏍᏗ
*,"dv:ʔì:sgi:go:hi, niga̋:d ayv.","ᏛᎢᏍᎩᎪᎯ, ᏂᎦd ᎠᏴ."
,"dv:ʔì:sgi:go:hi, niga̋:da ayv.","ᏛᎢᏍᎩᎪᎯ, ᏂᎦᏓ ᎠᏴ."
,dà:di:tasgó,ᏓᏗᏔᏍᎪ
,dà:di:tasgó:ʔi,ᏓᏗᏔᏍᎪᎢ
,dà:di:tásga,ᏓᏗᏔᏍᎦ
,dà:gigo:hv̌,ᏓᎩᎪᎲ
,dà:gigo:hv̌:ʔi,ᏓᎩᎪᎲᎢ
,dà:giha,ᏓᎩᎭ
,dà:giha nv̀:ya.,ᏓᎩᎭ ᏅᏯ.
,dà:gihv̌,ᏓᎩᎲ
,dà:gihv̌:ʔi,ᏓᎩᎲᎢ
,dà:gihyá:ʔv̌,ᏓᎩᏯᎥ
,dà:gihyá:ʔv̌:ʔi,ᏓᎩᏯᎥᎢ
,dà:gihé:sdi,ᏓᎩᎮᏍᏗ
,dà:gihó,ᏓᎩᎰ
,dà:gihó:ʔi,ᏓᎩᎰᎢ
*,dà:giká ji:sd.,ᏓᎩᎧ ᏥᏍd.
,dà:gikáha,ᏓᎩᎧᎭ
,dà:gikáha ji:sdu.,ᏓᎩᎧᎭ ᏥᏍᏚ.
,dà:gine:hv̌,ᏓᎩᏁᎲ
,dà:gine:hv̌:ʔi,ᏓᎩᏁᎲᎢ
,dà:gine:hé:sdi,ᏓᎩᏁᎮᏍᏗ
,dà:gine:hó,ᏓᎩᏁᎰ
,dà:gine:hó:ʔi,ᏓᎩᏁᎰᎢ
,dà:gináv̌,ᏓᎩᎾᎥ
,dà:gináv̌:ʔi,ᏓᎩᎾᎥᎢ
,dà:gináé:sdi,ᏓᎩᎾᎡᏍᏗ
,dà:gináó,ᏓᎩᎾᎣ
,dà:gináó:ʔi,ᏓᎩᎾᎣᎢ
*,dà:gwadó énto:ni,ᏓᏆᏙ ᎡnᏙᏂ
*,dà:gwanhta,ᏓᏆnᏔ
*,dà:gwanhtv̌,ᏓᏆnᏛ
*,dà:gwanhtv̌:ʔi,ᏓᏆnᏛᎢ
*,dà:gwanhté:sdi,ᏓᏆnᏖᏍᏗ
*,dà:gwanhtó,ᏓᏆnᏙ
*,dà:gwanhtó:ʔi,ᏓᏆnᏙᎢ
,dà:gwohljv̌,ᏓᏉꮅᏨ
,dà:gwohljv̌:ʔi,ᏓᏉꮅᏨᎢ
,dà:gwv̂:ya,ᏓᏋᏯ
,dà:gwv̌:yó,ᏓᏋᏲ
,dà:gwv̌:yóʔi,ᏓᏋᏲᎢ
,dà:gwù:di:tahv̌,ᏓᏊᏗᏔᎲ
,dà:gwù:di:tahv̌:ʔi,ᏓᏊᏗᏔᎲᎢ
,dà:gìsdí:gv̌,ᏓᎩᏍᏗᎬ
,dà:gìsdí:gv̌:ʔi,ᏓᎩᏍᏗᎬᎢ
,dà:na:dǐ:tā,ᏓᎾᏗᏔ
,dà:nada:dohlga,ᏓᎾᏓᏙꮅᎦ
,dà:nada:dohlgó,ᏓᎾᏓᏙꮅᎪ
,dà:nada:dohlgó:ʔi,ᏓᎾᏓᏙꮅᎪᎢ
*,dà:nada:gowhtíha,ᏓᎾᏓᎪwᏘᎭ
*,dà:nada:gowhtǐ:sgó,ᏓᎾᏓᎪwᏘᏍᎪ
*,dà:nada:gowhtǐ:sgóʔi,ᏓᎾᏓᎪwᏘᏍᎪᎢ
*,dà:nadaktǒ:sdā,ᏓᎾᏓkᏙᏍᏓ
*,dà:nadà:ktǒ:sdí:sgó,ᏓᎾᏓkᏙᏍᏗᏍᎪ
*,dà:nadà:ktǒ:sdí:sgó:ʔi,ᏓᎾᏓkᏙᏍᏗᏍᎪᎢ
