ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE
140||dé:di:hyé|Ꮥ³Ꮧ²-|ɂᏰ³Ꭰ||ᏕᏗᏰᎠ|dé:di:hyé:ɂa|All of us are eating flexible things|||dee3dii2hyee3-a
141|||Ꮧ̣²Ꭹ²-|ɂᎪ³Ꮧ||ᏗᎩᎪᏗ|digi:kóhdi|For all of us to have living things|||di2gii2koh3di
142|||Ꭲ¹Ꮣ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᎢᏓᏓᎪᏩᏔ|ì:dada:gò:wahta|Let all of us see ourselves|||ii1da2daa2goo1wah2ta
143||è:no:lì|Ꭱ¹Ꮒ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎡᏃᎵᎦ|è:no:lì:ga|You and I recognize him|||ee1noo2lii1ga
144|||Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ²||ᎦᏓᎪᏩᏔ|gada:gò:wahtā|I recently saw myself|||ga2daa2goo1wah2ta2
145|||Ꮶ¹ᏍᏗ²-|ɂ¹Ꮯ²³Ꮜ||ᏫᏦᏍᏗᏟᏌ|wijò:sdì:hlǐ:sa|Let him and me gather things|||wi2joo1sdii1hlii23sa
146||sdada:go:hv̌|ᏍᏓ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏍᏓᏓᎪᎲᎢ|sdada:go:hv̌:ɂi|You both saw yourselves a while ago|||sdaa2daa2goo2hvv23-i
147|||Ꮶ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭳ²Ꮅ³ᏍᏗ||ᏦᎦᏓᏙᎵᏍᏗ|jò:gada:do:hlísdi|For them and me to be acquainted|||joo1ga2daa2doo2hli3sdi
148|||Ꮧ̣²Ꮵ̣²-|Ꭰ̣²Ꮪ²³Ꭹ||ᏗᏣᏚᎩ|dijatǔ:gi|Let you all drink alcoholic drinks|||di2ja2tuu23gi
149|||Ꮧ̣²Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭰ̣²Ꮪ²³Ꮃ||ᏗᎩᎾᏓᏚᎳ|diginadadǔ:la|Let you and me want each other|||di2gi2na2da2duu23la
150|||Ꭺ²Ꭹ²-|Ꭰ̣²Ꮪ²³Ꮃ²||ᎪᎦᏚᎳ|go:gadǔ:lā|They recently wanted them and me|||goo2ga2duu23la2
151|||Ꭳ¹Ꭹ²-|Ꭽ||ᎣᎩᎭ|ò:gi:ha|They and I have something|||oo1gii2ha
152|||ᏍᏗ²-|Ꭱ³Ꭶ||ᏍᏕᎦ|sdé:ga|You both are going|||sdee3ga
153||dò:ji:hyé|Ꮩ¹Ꮵ²-|ɂᏰ³Ꭰ||ᏙᏥᏰᎠ|dò:ji:hyé:ɂa|They and I are eating flexible things|||doo1jii2hyee3-a
154|||Ꮧ̣²ᏍᏗ²-|ɂᎪ³Ꮧ||ᏗᏍᏗᎪᏗ|disdi:kóhdi|For you both to have living things|||di2sdii2koh3di
155|||Ꮧ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏗᎾᏓᎪᏩᏔ|dinada:gò:wahta|Let you and me see each other|||di2na2daa2goo1wah2ta
156||è:do:lì|Ꭱ¹Ꮧ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎡᏙᎵᎦ|è:do:lì:ga|All of us recognize him|||ee1doo2lii1ga
157|||Ꮷ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭳ²Ꮅ³ᏍᏗ||ᏧᎾᏓᏙᎵᏍᏗ|jù:nada:do:hlísdi|For them to be acquainted|||juu1na2daa2doo2hli3sdi
158||à:gwada:go:hv̌|Ꭰ¹Ꮖ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎠᏆᏓᎪᎲᎢ|à:gwada:go:hv̌:ɂi|I saw myself a while ago|||aa1gwaa2daa2goo2hvv23-i
159|||Ꭰ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ²||ᎠᎾᏓᎪᏩᏔ|à:nada:gò:wahtā|They recently saw themselves|||aa1naa2daa2goo1wah2ta2
160|||Ꮧ̣³Ꮒ̣²-|Ꭰ̣²Ꮪ²³Ꭹ||ᏗᎾᏚᎩ|dínatǔ:gi|Let you and me drink alcoholic drinks|||di3na2tuu23gi
