,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
note,"ᎠᎴ ᎤᏁᎷᏅᎩ ᎢᏳᏃ ᎤᏂᎪᎲ ᏚᎦᏒᏍᏛ ᎾᏍᎩ <u>ᎠᎪᎲᏍᎬᎢ</u> …
and were crying, seeing the smoke of <u>her burning</u> …
[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 18:18]",,,,,
,,,,,,
ENTRY,ᎠᎪᎲᏍᎦ,ago:hv̌:hsga,vi,It is burning up.,x,
,-,,,,,
,ᎤᎪᏅᎢ,u:gohnv̌ʔi,,,,
,ᎠᎪᎲᏍᎪᎢ,ago:hv̌:hsgóʔi,,,,
,ᏩᎪᎿ,wagohna,,,,
,ᎤᎪᎲᏍᏗ,u:go:hv̌:hsdi,,,,
note,"… ᎠᎴ ᏂᎦᏛ ᎢᏤ ᎧᏁᏍᎦ <u>ᎤᎪᏅᎩ</u>.
… and all the green grass <u>was burnt up</u>.
[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 8:7]",,,,,
,,,,,,
ENTRY,ᎠᎪᎲᏍᏗᎭ,a:go:hvsdiha,vt,He is burning it.,,
,ᎦᎪᎥᏍᏗᎭ,ga:goʔvsdiha,,,,
,ᎤᎪᎲᏍᏓᏅᎢ,u:go:hvsdaʔnv̌ʔi,,,,
,ᎠᎪᎲᏍᏗᏍᎪᎢ,a:go:hvsdisgóʔi,,,,
,ᎭᎪᎲᏍᏓ,ha:go:hvsda,,,,
,ᎤᎪᎲᏍᏚᏗ,u:go:hvsdu:hdi,,,,
,,,,,,
ENTRY,ᎠᎪᎵᏰᎠ,ago:lí:yeʔa,vt,"He is reading it.;
He is studying.;
He is examining it.",x,
,ᏥᎪᎵᏰᎠ,jigo:lí:yeʔa,,,,
,ᎤᎪᎵᏰᎥᎢ,u:go:lí:yeʔv̌ʔi,,,,
,ᎠᎪᎵᏰᏍᎪᎢ,ago:lí:yesgóʔi,,,,
,ᎯᎪᎵᏯ,higo:lí:ya,,,,
,ᎤᎪᎵᏰᏗ,u:go:lí:ye:di,,,,
note,"… <u>ᎤᎪᎵᏰᎥᏃ</u> ᎿᏉ ᏚᏠᏱᎸ ᎠᎴ ᎤᏪᎾᏮᎩ;
… <u>and as he read</u>, he wept and trembled;
[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]",,,,,
,,,,,,
ENTRY,ᎠᎪᎸᎠ,a:goʔlvʔa,vi,He is going then turning and coming back.,x,
,ᎦᎪᎸᎠ,ga:goʔlvʔa,,,"Francis has ᎥᎢ, not ᏒᎢ, for PAST",
,ᎤᎪᎸᏒᎢ,u:goʔlv:sv̌ʔi,,,,
,ᎠᎪᎸᏍᎪᎢ,a:goʔlv:sgóʔi,,,,
,ᎭᎪᎸᎾ,ha:goʔlv:na,,,,
,ᎤᎪᎸᏍᏗ,u:goʔlv:sdi,,,,
note,"ᎦᏳᎳᏰᏃ ᎢᎦᏛ <u>ᎤᎾᎪᎸᏒ</u> ᏎᏓᏂ ᎤᎾᏍᏓᏩᏕᏅ.
for already certain <u>did turn aside</u> after the Adversary.
[ᎢᎬᏱᏱ ᏗᎹᏗ 5:14]",,,,,
,,,,,,
ENTRY,ᎠᎪᎸᎠ,agóhlvʔa,vt,He is turning it around.,x,
,ᏥᎪᎸᎠ,jigoʔlvʔa,,,Francis shows ᎥᎢ not ᏒᎢ for PAST,King is clear that RP has -s- and it also matches in CED. 
,ᎤᎪᎸᏒᎢ,u:góhlvsv̌ʔi,,,,
,ᎠᎪᎸᏍᎪᎢ,agóhlvsgóʔi,,,,
,ᎯᎪᎸᎾ,higóhlvna,,,,
,ᎤᎪᎸᏍᏗ,u:góhlvsdi,,,,
,,,,,,
ENTRY,ᎠᎪᎾ,ago:na,n,Starvation.,,
note,"ᎾᏍᎩᏃ ᎢᏳ ᎩᎶ <u>ᎠᎪᎾ</u> ᎤᏲᏏᏍᎨᏍᏗ, ᏧᏪᏅᏒ ᎠᎵᏍᏓᏴᎲᏍᎨᏍᏗ; …
and if any one is <u>hungry</u>, at home let him eat, …
[ᎢᎬᏱᏱ ᎨᎪᏪᎳᏁᎸᎯ 11:34]",,,,,
,,,,,,
ENTRY,ᎠᎪᏍᎩᏍᏗᎭ,a:kosgi:sdiha,vt,He is elbowing it.,,
,ᏥᏯᎪᏍᎩᏍᏗᎭ,ji:ya:kosgi:sdiha,,,,
,ᎤᎪᏍᎩᏍᏓᏅᎢ,u:kosgi:sdaʔnv̌ʔi,,,,
,ᎠᎪᏍᎩᏍᏗᏍᎪᎢ,a:kosgi:sdisgóʔi,,,,
,ᎯᏯᎪᏍᎩᏍᏓ,hiya:kosgi:sda,,,,
,ᎤᎪᏍᎩᏗ,u:koskdi,,,,
,,,,,,
ENTRY,ᎠᎪᏍᏓᎩᏍᏗ,ago:sdakisdi,n,"Lettuce.;
biol. <em>Lactuca sativa.</em>",,
,,,,,,
ENTRY,ᎠᎪᏍᏗ,ago:sdi,adj,"Raw.;
Unripe.",,
,,,,,,
ENTRY,ᎠᎪᏍᏚᎩᏍᏗ,ago:sdugi:sdi,n,"Branch lettuce.;
biol. <em>Saxifraga micranthidifolia.</em>",,
,,,,,,
ENTRY,ᎠᎪᏕᎯ,agodehi,n,"Marsh hawk.;
Hen Harrier.;
biol. <em>Circus hudsonius.</em>",,
,,,,,,
ENTRY,ᎠᎪᏛᎥᏍᎦ,akodvʔv:sga,vt,"He is sprinkling it (a powder or fine granular substance).;
He is sifting flour.",x,
,ᏥᎪᏛᎥᏍᎦ,jikodvʔvʔsga,,,,
,ᎤᎪᏚᏅᎢ,u:kodu:nv̌ʔi,,,,
,ᎠᎪᏛᎥᏍᎪᎢ,akodvʔv:sgóʔi,,,,
,ᎯᎪᏛᎥᎦ,hikodvʔv:ga,,,,
,ᎤᎪᏛᏗ,u:kodv:hdi,,,,
,,,,,,
ENTRY,ᎠᎪᏩᏘᎭ,agówhtiha,vt,He is seeing it.,,
,ᏥᎪᏩᏘᎭ,*jigowhtiha,,,,
,ᎤᎪᏩᏛᎲᎢ,u:góhv̌ʔi,,,,Not sure DK was right about the CompPast. Myrtle uses ᎤᎪᎲ and ᎠᎩᎪᎲ throughout 13 Moons.
,ᎠᎪᏩᏘᏍᎪᎢ,agówhtisgóʔi,,,,
,ᎯᎪᏩᏔ,higówhta,,,,
,ᎤᎪᏩᏛᏗ,u:gówhtv:hdi,,,,
note,"ᎥᎥ, ᎣᏏ <u>ᏥᎪᏩᏘᎭ</u>.
Yes, <u>I see it</u> well.
[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]",,,,,
,,,,,,
ENTRY,ᎠᎪᏮ,a:gowv,n,Sand piper.,,
,,,,,,
ENTRY,ᎠᎫᎩᎠ,aku:giʔa,vt,He is dipping a liquid.; He is removing liquid from a container,x,
,ᏥᎫᎩᎠ,jiʔgu:giʔa,,,,
,ᎤᎫᎩᏒᎢ,u:ku:gisv̌ʔi,,,,
,ᎠᎫᎩᏍᎪᎢ,aku:gisgóʔi,,,,
,ᎯᎫᎩ,hiku:gi,,,,
,ᎤᎫᎩᏍᏗ,u:ku:gisdi,,,,
,,,,,,
ENTRY,ᎠᎫᎩᎠ,agu:giʔa,vt,He is taking liquid from liquid.,x,King didn't indicate an /h/ in his entry. 
,ᏥᎫᎩᎠ,jigu:giʔa,,,,
,ᎤᎫᎩᏒᎢ,u:gu:gi:sv̌ʔi,,,,
,ᎠᎫᎩᏍᎪᎢ,agu:gi:sgóʔi,,,,
,ᎯᎫᎩ,higu:gi,,,,
,ᎤᎫᎩᏍᏗ,u:gu:gi:sdi,,,,
,,,,,,
ENTRY,ᎠᎬᎠ,akv́ʔa,vt,"He is moving it (something alive).;
He is moving it (something solid).",x,
,ᏥᎬᎠ,ji:kv́ʔa,,,,
,ᎤᎬᎥᎢ,u:kv́ʔv̌ʔi,,,,
,ᎠᎬᏍᎪᎢ,akv́:sgóʔi,,,,
,ᎯᎬᎾ,hi:kv́:na,,,,
,ᎤᎬᏍᏗ,u:kv́:sdi,,,,
,,,,,,
ENTRY,ᎠᎬᎦ,agv:ga,vi,He is drowning.,,
,ᏥᎬᎦ,jigv:ga,,,,
,ᎤᎬᏨᎢ,u:gvʔjv̌ʔi,,,,
,ᎠᎬᎪᎢ,agv:góʔi,,,,
,ᎯᎬᎩ,higvʔgi,,,,
,ᎤᎬᎢᏍᏗ,u:gvʔi:sdi,,,,
note,"… ᎠᏥᎸᏱ ᎬᏛᎪᎢ ᎠᎴ <u>ᎠᎹᏱ ᎠᎬᎪᎢ</u>.
… for often he doth fall into the fire, and <u>often into the water</u>,
[ᎹᏚ 17:15]",,,,,
,,,,,,
ENTRY,ᎠᎬᎭᎴᏫᏓ,agvhale:wida,n,Quilt top.,,
,,,,,,
ENTRY,ᎠᎬᎭᎵᎭ,agv́haliha,vt,He is cutting it (something solid) off.,,
,ᏥᎬᎠᎵᎭ,jigvʔaliha,,,,
,ᎤᎬᎭᎸᎲᎢ,u:gv́halvhv̌ʔi,,,,
,ᎠᎬᎭᎵᏍᎪᎢ,agv́halisgóʔi,,,,
,ᎯᎬᎭᎳ,higv́hala,,,,
,ᎤᎬᎭᎳᏗ,u:gv́ha:hldi,,,,
,,,,,,
ENTRY,ᎠᎬᎯᏓ,akvhida,n,"Sheet.;
Linen.",,
,,,,,,
ENTRY,ᎠᎬᏃᎨᏂ,akvno:ge:ni,n,His wing.,,
,,,,,,
,ᏗᎬᏃᎨᏂ,dikvno:ge:ni,,,,
,,,,,,
,,,,,,
ENTRY,ᎠᎬᏍᏉᎠ,a:gv:sgwoʔa,vi,He is washing his face.,x,
,ᎦᎬᏍᏉᎠ,ga:gvʔsgwoʔa,,,,
,ᎤᎬᏍᏉᎥᎢ,u:gv:sgwoʔv̌ʔi,,,,
,ᎠᎬᏍᏉᏍᎪᎢ,a:gv:sgwo:sgóʔi,,,,
,ᎭᎬᏍᏉᏣ,ha:gv:sgwo:ja,,,,
,ᎤᎬᏍᏉᏍᏗ,u:gv:sgwo:sdi,,,,
note,"ᏂᎯᏍᎩᏂ ᎠᎹᏟ ᎲᏍᎨᏍᏗ, ᎭᏠᏁᏍᎨᏍᏗ, ᎠᎴ <u>ᎭᎬᏍᏉᏍᎨᏍᏗ</u>,
‘But thou, fasting, anoint thy head, and <u>wash thy face</u>,
[ᎹᏚ 6:17]",,,,,
,,,,,,
ENTRY,ᎠᎬᏗᎨᏂ,agv:dige:ni,n,His forehead.,,
,ᏥᎬᏗᎨᏂ,jigv:dige:ni,,,,
,,,,,,
ENTRY,ᎠᎬᏚᎶ,agv:duʔlo,n,Mask.,,
,,,,,,
ENTRY,ᎠᎬᏩᎶᏗ,agv:hwaldi,vi,It is worth.,,
,ᎠᎩᎬᏩᎶᏗ,à:gigv:waʔldi,,,,
,ᎤᎬᏩᎶᏕᏍᏛᎢ,u:gv:hwalde:sdv̌ʔi,,,,
,ᎠᎬᏩᎶᏙᎢ,agv:hwaldóʔi,,,,
,ᎯᎬᏩᎶᏓ,higv:hwalda,,,,
,ᎤᎬᏩᎶᏙᏗ,u:gv:hwaldo:hdi,,,,
,,,,,,
ENTRY,ᎠᎬᏯᏍᎦ,agvʔyhsga,vt,He is drowning him.,,
,ᏥᎬᏯᏍᎦ,*ji:gvʔyʔsga,,,,
,ᎤᎬᏯᎲᎢ,u:gvʔyhv̌ʔi,,,,
,ᎠᎬᏯᏍᎪᎢ,agvʔyhsgóʔi,,,,
,ᎯᎬᏯ,hi:gvʔya,,,,
,ᎤᎬᏯᏍᏗ,u:gvʔyhsdi,,,,
,,,,,,
ENTRY,ᎠᎬᏱ,agv:yi,adj,"First.;
Initially.",,
note,"<u>ᎠᎬᏱ</u> ᎤᎦᏔ ᎤᏂᏫᏎ.
<u>First</u> they plant seed.
[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ]",,,,,
,,,,,,
ENTRY,ᎠᎬᏱᏗᏣ,agv:yidi:ja,pt,"Before.;
In the way.",,
,,,,,,
ENTRY,ᎠᎬᏴᎵᎨᎢ,ahgvyv:ligeʔi,adj,Old (something alive).,,
,,,,,,
ENTRY,ᎠᎭᎨᏨᎯ,ahake:jvhi,n,A peeling.,,
,,,,,,
ENTRY,ᎠᎭᏔᏍᎦ,a:hata:sga,vt,"He is hammering it in.;
He is driving it in.",x,
,ᏥᎠᏔᏍᎦ,*jihata:sga,,,Francis INF: ᎤᎭᏘᏗ,
,ᎤᎭᏔᏅᎢ,u:hatanv̌ʔi,,,,
,ᎠᎭᏔᏍᎪᎢ,a:hata:sgóʔi,,,,
,ᎯᎭᏔᎦ,hihata:ga,,,,
,ᎤᎭᏘ,u:hati,,,,
,,,,,,
ENTRY,ᎠᎭᏫᏯ,ahawi:ya,n,Venison.,,
,,,,,,
ENTRY,ᎠᎯᎭ,a:hiha,vt,He is killing him.,,
,ᏥᎢᎭ,jiʔiha,,,,
,ᎤᎸᎢ,u:hʔlv̌ʔi,,,,
,ᎠᎯᎰᎢ,a:hihóʔi,,,,
,ᎯᎷᎦ,hi:lu:ga,,,,
,ᎤᎯᏍᏗ,u:hisdi,,,,
note,"ᎠᏥᏁᏤᎴᏃ ᎯᎠ ᏅᏗᎠᏥᏪᏎᎴᎢ; ᏈᏓ, ᏔᎴᎲᎦ, <u>ᎯᎷᎦ</u> ᎠᎴ ᎭᎵᏍᏓᏴᎲᎦ, ᎠᎪᏎᎴᎢ.
and there came a voice unto him: ‘Having risen, Peter, <u>slay</u> and eat.’
[ᎨᏥᏅᏏᏛ ᏄᎾᏛᏁᎵᏙᎸᎢ 10:13]",,,,,
,,,,,,
ENTRY,ᎠᎯᎵᏲᎦ,a:hi:hliyo:ga,vi,"He is in agony, suffering.",,
,ᏥᎢᎵᏲᎦ,jiʔi:hliyo:ga,,,,
,ᎤᎯᎵᏲᏨᎢ,u:hi:hliyo:jv̌ʔi,,,,
,ᎠᎯᎵᏲᎪᎢ,a:hi:hliyo:góʔi,,,,
,ᎯᎯᎵᏲᎦ,hihi:hliyoʔga,,,,
,ᎤᎯᎵᏲᎢᏍᏗ,u:hi:hliyoʔisdi,,,,
,,,,,,
ENTRY,ᎠᎯᏱᎠ,a:hi:yiʔa,vt,He is leaving it (something solid) or it (a liquid).,,
,ᏥᎢᏱᎠ,jiʔi:yiʔa,,,,
,ᎤᎯᏱᎥᎢ,u:hi:yi:v̌ʔi,,,,
,ᎠᎯᏱᏍᎪᎢ,a:hi:yisgóʔi,,,,
,ᎯᎯᏯ,hihi:ya,,,,
,ᎤᎯᏱᏍᏗ,u:hi:yisdi,,,,
,,,,,,
ENTRY,ᎠᎰᎵ,aho:li,n,His mouth.,,
,ᏥᎰᎵ,jiho:li,,,,
note,"ᎥᏝᏍᎩᏂ ᎾᏍᎩ Ꮎ <u>ᎠᎰᎵ</u> ᏭᏴᎸᎯ ᎦᏓᎭ ᏱᏄᏩᏁᎰ ᏴᏫ, <u>ᎠᎰᎵᏍᎩᏂ</u> ᏅᏓᏳᏄᎪᏨᎯ ᎾᏍᎩ ᎦᏓᎭ ᏄᏩᏁᎰ ᏴᏫ.
not that which is coming into <u>the mouth</u> doth defile the man, but that which is coming forth from <u>the mouth</u>, this defileth the man.’
[ᎹᏚ 15:11]",,,,,
,,,,,,
ENTRY,ᎠᎱᎳᎨᎦ,a:hu:lagega,vi,He is homesick.,,
,ᏥᎤᎳᎨᎦ,jiʔu:lagega,,,,
,ᎤᎱᎳᎨᏨᎢ,u:hu:lage:jv̌ʔi,,,,
,ᎠᎱᎳᎨᎪᎢ,a:hu:lagegóʔi,,,,
,ᎯᎱᎳᎨᎢ,hihu:lageʔi,,,,
,ᎤᎱᎳᎨᏍᏗ,u:hu:lage:sdi,,,,
,,,,,,
ENTRY,ᎠᎱᎴᏴᏍᎦ,a:hule:yv:sga,vi,He is burning himself with hot food.,x,
,ᏥᎤᎴᏴᏍᎦ,jiʔule:yv:sga,,,,
,ᎤᎱᎴᏴᏒᎢ,u:hule:yv:sv̌ʔi,,,,
,ᎠᎱᎴᏴᏍᎪᎢ,a:hule:yv:sgóʔi,,,,
,ᎯᎱᎴᏴᎯ,hihule:yv:hi,,,,
,ᎤᎱᎴᏴᎯᏍᏗ,u:hule:yv:hisdi,,,,
,,,,,,
ENTRY,ᎠᎱᎵ,ahuʔli,n,Drum.,,
note,"… ᎾᏍᎩ ᎣᏍᏛ ᎢᎦᏓᏅᏛ ᎬᏯᏂᎩᏍᏙᏗᏱ, ᏗᎧᏃᎩᏛ ᎬᏗ, ᎠᎴ <u>ᎠᎱᎵ</u> ᎢᏳᏍᏗ ᎬᏗ, ᎠᎴ ᎠᏏᎳᏕᏫᏛ ᏗᎧᏃᎩᏍᏙᏗ ᎬᏗ?
… I send thee away with joy and with songs, with <u>tabret</u> and with harp,
[ᎼᏏ ᎢᎬᏱᏱ 31:27]",,,,,
,,,,,,
ENTRY,ᎠᎱᏗᎠ,a:hu:diʔa,vt,He is putting it (something long) into a liquid.,,
,ᏥᎤᏗᎠ,jiʔu:diʔa,,,,
,ᎤᎱᏛᎢ,u:hu:dʔv̌ʔi,,,,
,ᎠᎱᏗᏍᎪᎢ,a:hu:disgóʔi,,,,
,ᎯᎱᏓ,hihu:da,,,,
,ᎤᎱᏗᏍᏗ,u:hu:disdi,,,,
,,,,,,
ENTRY,ᎠᎱᏣᏬᎳᏛᎢ,ahu:jawo:ladvʔi,n,Chimney.,,
,,,,,,
ENTRY,ᎠᎱᏱᏏᎭ,a:hu:yísiha,vt,He is taking it (something long) from a liquid.,,
,ᏥᎤᏱᏏᎭ,jiʔu:yísiha,,,,
,ᎤᎱᏱᏒᎲᎢ,u:hu:yísvhv̌ʔi,,,,
,ᎠᎱᏱᏏᏍᎪᎢ,a:hu:yísisgóʔi,,,,
,ᎯᎱᏱᎤᏌ,hihu:yiusa,,,,
,ᎤᎱᏱᏒᏗ,u:hu:yísv:hdi,,,,
,,,,,,
ENTRY,ᎠᎲᏍᎦ,ahvsga,vi,He is sitting.,x,
,ᏥᎥᏍᎦ,ga:hvsga,,,Definition fix,
,ᎤᏅᎢ,u:hnv̌ʔi,,,Stem fix,
,ᎠᎲᏍᎪᎢ,ahvsgóʔi,,,Entry was whacked,
,ᎯᎲᎦ,hahvga,,,"Compare to ""he is placing ... ground""",
,ᎤᏗ,u:hdi,,,,
,,,,,,
,,,,,,
ENTRY,ᎠᎲᏍᎦ,à:hv́sga,vt,"He is placing it (something solid) on the ground.;
He is laying it (something solid) down.;
He is setting it (something solid) down.",x,This is the root in King's 1978 list and in the CED. The version in King's 1975 Dictionary is /-ʔv-/. 
,ᏥᎥᏍᎦ,jiʔv́sga,,,"Compare to ""he is sitting"".",
,ᎤᏅᎢ,ù:hnv̌ʔi,,,,
,ᎠᎲᏍᎪᎢ,à:hvsgóʔi,,,,
,ᎯᎲᎦ,hihv̀:ga,,,,
,ᎤᏗ,u:hdi,,,,
,,,,,,
ENTRY,ᎠᎥᏏ,àʔv́hsi,vt,He is handing it (something solid) to him.,,"This verb is weird. My interpretation of King's @ with this is that the root loses the ""hs"" but not the root vowel.  ᎯᎥᏏ (Immediate/Imperative) is a case in point. "
,ᏥᎥᏏ,jiʔv́si,,,,
,ᎤᎥᏁᎸᎢ,ùʔv:nélv̌ʔi,,,,
,ᎠᎥᏁᎰᎢ,àʔv:né:hóʔi,,,,
,ᎯᎥᏏ,hiʔv́hsi,,,,
,ᎤᎥᏁᏗ,uʔv:nhdi,,,,
note,"ᏥᏌ ᎤᏁᏨᎩ; ᎾᏍᎩ ᎨᏎᏍᏗ ᎠᎬᎭᎸᏛ <u>ᏥᏁᎸᎭ</u> ᎾᏍᎩ ᎠᏊᏅᎯ ᎨᏎᏍᏗ. ᎤᏭᏅᏃ ᎠᎬᎭᎸᏛ <u>ᎤᏁᎸᎩ</u> ᏧᏓᏏ ᎢᏍᎦᎳᏗ ᏌᏩᏂ ᎤᏪᏥ.
Jesus answereth, ‘That one it is to whom I, having dipped the morsel, <u>shall give it</u>;’ and having dipped the morsel, <u>he giveth [it]</u> to Judas of Simon, Iscariot.
[ᏣᏂ 13:26]",,,,,
,,,,,,
ENTRY,ᎠᎲᏓᎩᎠ,a:hv:dagíʔa,vt,He is taking it (something long) off a fire.,x,
,ᏥᎥᏓᎩᎠ,jiʔv:dagíʔa,,,,
,ᎤᎲᏓᎩᏒᎢ,u:hv:dagísv̌ʔi,,,,
,ᎠᎲᏓᎩᏍᎪᎢ,a:hv:dagísgóʔi,,,,
,ᎯᎲᏓᎩ,hihv:dagi,,,,
,ᎤᎲᏓᎩᏍᏗ,u:hv:dagísdi,,,,
,,,,,,
ENTRY,ᎠᎲᏔᏍᎦ,a:hv:tǎ:hsga,vt,He is putting it (something long) into a fire.,x,
,ᏥᎥᏔᏍᎦ,jiʔv:tǎ:hsga,,,,
,ᎤᎲᏛᏅᎢ,u:hv:tá:nv̌ʔi,,,,
,ᎠᎲᏔᏍᎪᎢ,a:hv:tǎ:hsgóʔi,,,,
,ᎯᎲᏔᎦ,hihv:tá:ga,,,,
,ᎤᎲᏔᏗ,u:hv:tdi,,,,
,,,,,,
ENTRY,ᎠᎳᏍᎬᎠ,a:la:sgvʔa,vi,He is taking a step.; He is stepping.,x,
,ᎦᎳᏍᎬᎠ,ga:lasgvʔa,,,Francis has ᎥᎢ and not ᏒᎢ for PAST.,
,ᎤᎳᏍᎬᏒᎢ,u:la:sgv:sv̌ʔi,,,,
,ᎠᎳᏍᎬᏍᎪᎢ,a:la:sgv:sgóʔi,,,,
,ᎭᎳᏍᎬᎾ,ha:la:sgv:na,,,,
,ᎤᎳᏍᎬᏍᏗ,u:la:sgv:sdi,,,,
,,,,,,
ENTRY,ᎠᎳᏍᏚᏬᎠ,a:hlsdúwoʔa,vi,He is pulling corn blades.,x,
,ᏥᎳᏍᏚᏬᎠ,*jilsdúwoʔa,,,Definition fix.,
,ᎤᎳᏍᏚᏬᎥᎢ,u:hlsdúwoʔv̌ʔi,,,Francis IMM is plural object?,
,ᎠᎳᏍᏚᏬᏍᎪᎢ,a:hlsdúwo:sgóʔi,,,,
,ᎯᎳᏍᏚᏬᏣ,*hihlsdúwo:ja,,,,
,ᎤᎳᏍᏚᏬᏍᏗ,u:hlsdúwo:sdi,,,,
,,,,,,
ENTRY,ᎠᎳᏍᏛᎥᏍᎦ,a:la:sdvʔv:sga,vt,He is stepping on it.,x,
,ᎦᎳᏍᏛᎥᏍᎦ,ga:lasdvʔv:sga,,,Francis shows ulasdvhnvi PAST,
,ᎤᎳᏍᏛᏅᎢ,u:la:sdvʔnv̌ʔi,,,,
,ᎠᎳᏍᏛᎥᏍᎪᎢ,a:la:sdvʔv:sgóʔi,,,,
,ᎭᎳᏍᏛᎥᎦ,ha:la:sdvʔv:ga,,,,
,ᎤᎳᏍᏛᏗ,u:la:sdv:hdi,,,,
,,,,,,
ENTRY,ᎠᎳᏫᏗᎭ,a:hlawí:diha,vi,"He is flying away; 
He is taking off flying. ",,"Updated gloss to deconflict ᎦᏃᎯᎵ, gloss from CED. tlw"
,ᎦᎳᏫᏗᎭ,gaʔlawí:diha,,,,
,ᎤᎳᏫᏛᎲᎢ,u:hlawí:dvhv̌ʔi,,,,
,ᎠᎳᏫᏗᏍᎪᎢ,a:hlawí:disgóʔi,,,,
,ᎭᎳᏫᏓ,ha:hlawí:da,,,,
,ᎤᎳᏫᏘᏗ,u:hlawí:tdi,,,,
,,,,,,
ENTRY,ᎠᎴ,ale,pt,"And.;
Or.",,
note,"ᏥᎪ ᏣᏓᎵᎢ <u>ᎠᎴ</u> ᏗᏤᏥ ᎠᏁᎭ?
Hast thou a Wife <u>and</u> Children?
[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]",,,,,
,,,,,,
ENTRY,ᎠᎴᏂᎠ,a:le:niʔa,vt,"He is starting it.;
He is beginning it.",x,ᏔᎻᎵ verified with WCU doc. Also fixed in online dictionary
,ᎦᎴᏂᎠ,ga:le:niʔa,,,,
,ᎤᎴᏅᎥᎢ,u:le:nvʔv̌ʔi,,,,
,ᎠᎴᏂᏍᎪᎢ,a:le:ni:sgóʔi,,,,
,ᎭᎴᎾ,ha:le:na,,,,
,ᎤᎴᏅᏗ,u:le:nhdi,,,,
,,,,,,
ENTRY,ᎠᎴᏅᏗᎭ,a:lenv:hdiha,vi,He is beginning with.,x,ᏔᎻᎵ verified with WCU doc.
,ᎦᎴᏅᏗᎭ,ga:lenvʔdiha,,,,
,ᎤᎴᏅᏔᏅᎢ,u:lenv:htanv̌ʔi,,,,
,ᎠᎴᏅᏗᏍᎪᎢ,a:lenv:hdisgóʔi,,,,
,ᎭᎴᏅᏓ,ha:lenv:hda,,,,
,ᎤᎴᏅᏙᏗ,u:lenv:hdo:hdi,,,,
note,"ᎾᏍᎩ ᎯᎠ <u>ᎤᎴᏅᏔᏅᎩ</u> ᏥᏌ ᎤᏍᏆᏂᎪᏗ ᏚᎸᏫᏍᏓᏁᎸᎩ ᎨᎵᎵ ᎨᏂ ᎦᏚᎲᎢ, …
This <u>beginning of</u> the signs did Jesus in Cana of Galilee, …
[ᏣᏂ 2:11]",,,,,
,,,,,,
ENTRY,ᎠᎵᎡᏂᎠ,aliʔe:ni:a,vi,He is crippled.,,
,ᏥᎵᎡᏂᎠ,jiliʔe:ni:a,,,,
,ᎤᎵᎡᏂᎡᏍᏛᎢ,u:liʔe:nie:sdv̌ʔi,,,,
,ᎠᎵᎡᏂᎣᎢ,aliʔe:ni:óʔi,,,,
,ᎯᎵᎡᏂᎡᏍᏗ,hiliʔe:nie:sdi,,,,
,ᎤᎵᎡᏂᎡᏍᏗ,u:liʔe:nie:sdi,,,,
,,,,,,
ENTRY,ᎠᎵᎢ,a:liʔi,n,Friendship.,,
,,,,,,
ENTRY,ᎠᎵᎪᏁᎭ,a:li:kone:ha,vt,He is wishing to accompany.,,
,ᏥᏯᎵᎪᏁᎭ,ji:ya:li:goʔne:ha,,,,
,ᎤᎵᎪᏁᎸᎢ,u:li:koneʔlv̌ʔi,,,,
,ᎠᎵᎪᏁᎰᎢ,a:li:kone:hóʔi,,,,
,ᎯᏯᎵᎪᎥᏏ,hi:ya:li:govʔsi,,,,
,ᎤᎵᎪᏁᏗ,u:li:konhdi,,,,
note,"… ᎢᎸᎯᏳᏃ <u>ᏕᏣᎵᎪᏁᎸ</u> ᎾᏍᎩ ᎢᎨᎬᏁᎸᎯ.
… and partly <u>having become partners of</u> those so living,
[ᎠᏂᏈᎷ 10:33]",,,,,
,,,,,,
ENTRY,ᎠᎵᎬᎩᎠ,aligv:giʔa,vt,He is ripping it.,x,
,ᏥᎵᎬᎩᎠ,jiligv:giʔa,,,,
,ᎤᎵᎬᎩᏒᎢ,u:ligv:gi:sv̌ʔi,,,,
,ᎠᎵᎬᎩᏍᎪᎢ,aligv:gi:sgóʔi,,,,
,ᎯᎵᎬᎩ,hiligv:gi,,,,
,ᎤᎵᎬᎩᏍᏗ,u:ligv:gi:sdi,,,,
,,,,,,
ENTRY,ᎠᎵᎬᏯᏍᎦ,a:ligvyhsga,vi,He is diving.,,
,ᎦᎵᎬᏯᏍᎦ,ga:ligvyʔsga,,,,
,ᎤᎵᎬᏴᎢ,u:ligvʔhyv̌ʔi,,,,
,ᎠᎵᎬᏯᏍᎪᎢ,a:ligvyhsgóʔi,,,,
,ᎭᎵᎬᏯ,ha:ligvʔya,,,,
,ᎤᎵᎬᏯᏍᏗ,u:ligvʔhysdi,,,,
,,,,,,
ENTRY,ᎠᎵᎭ,a:hliha,vi,He is fighting.,,
,ᎦᎵᎭ,gaʔliha,,,,
