,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
,ᎤᏩᎦᏙᏍᏓᏅᎢ,u:wa:kto:sdanv̌ʔi,,,,u- + a: vowel stem = uwa:  fixed
,ᎠᎦᏙᏍᏗᏍᎪᎢ,a:kto:sdisgóʔi,,,,
,ᎭᎦᏙᏍᏓ,ha:kto:sda,,,,
,ᎤᏩᎦᏙᏍᏙᏗ,u:wa:kto:sdo:hdi,,,,u- + a: vowel stem = uwa:  fixed
,,,,,,
ENTRY,ᎤᎦᏛᎲᏍᎦ,u:kdv́:hv:hsga,vt,"He is investigating, examining, checking, exploring it.",x,"Fixed King's typo - 3rd S should be ""u"". Set B verb."
,ᎠᎩᎦᏛᎥᏍᎦ,à:gikdv́:hv:hsga,,,,Set B pronouns don't trigger metathesis
,ᎤᎦᏛᏅᎢ,u:kdv́:hnv̌ʔi,,,,
,ᎠᎦᏛᎲᏍᎪᎢ,akdv́:hv:hsgóʔi,,,,
,ᏣᎦᏛᎲᎦ,*ja:kdv́:hvʔga,,,,
,ᎤᎦᏛᏗ,u:kdv́:hdi,,,,
Note,"ᎦᎾᎦᏘ <u>ᏚᎦᏛᎲᏍᎪ</u> ᏘᎦᏙᎵ. 
The doctor <u>investigates</u> your eyes. 
[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ]",,,,,
,,,,,,
ENTRY,ᎠᎦᏛᎴᎭ,aktv́ʔle:ha,vt,"He is going through.;
He is passing a grade.",x,"HFrancis ""doesn't fit"".  Matches CED"
,ᏥᎦᏛᎴᎭ,jigaʔtv́ʔle:ha,,,,
,ᎤᎦᏛᎴᏒᎢ,u:ktv́ʔle:sv̌ʔi,,,,
,ᎠᎦᏛᎴᏍᎪᎢ,aktv́ʔle:sgóʔi,,,,
,ᎯᎦᏛᎴᎯ,hiktv́ʔle:hi,,,,
,ᎤᎦᏛᎴᏍᏗ,u:ktv́ʔle:sdi,,,,
,,,,,,
ENTRY,ᎠᎦᏥᏅᎪᎦ,a:ga:jinvgo:ga,vi,It is rusting.,,
,-,,,,,
,ᎤᎦᏥᏅᎪᏨᎢ,u:ga:jinvgo:jv̌ʔi,,,,
,ᎠᎦᏥᏅᎪᎪᎢ,a:ga:jinvgo:góʔi,,,,
,ᏩᎦᏥᏅᎪᎡᏍᏗ,wa:ga:jinvgo:esdi,,,,
,ᎤᎦᏥᏅᎪᎢᏍᏗ,u:ga:jinvgoʔi:sdi,,,,
,,,,,,
ENTRY,ᎠᎦᏳᎳᏗ,aga:hyula:di,n,"Seine, Net.",,
,,,,,,
ENTRY,ᎠᎦᏴᎵ,agayv:li,adj,One thousand.,,
note,"ᎯᎠᏃ ᎾᏂᎥᎩ, ᎠᏍᎪᎯ ᎢᏯᎦᏴᎵ ᎤᎶᏏᎶᏛ ᎠᏍᎪᎯ ᎢᏯᎦᏴᎵ, ᎠᎴ <u>ᎠᎦᏴᎵ</u> ᎤᎦᏴᎳᏥᎶᏛ.
— and the number of them was myriads of myriads, and <u>thousands</u> of thousands —
[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 5:11]",,,,,
,,,,,,
ENTRY,ᎠᎦᏴᎵᎨᎢ,agayv:ligeʔi,n,"Woman, Elderly.",,
,ᏥᎦᏴᎵᎨᎢ,jigayv:ligeʔi,,,,
note,"… ᎠᎴ ᎢᏧᎳ ᎿᏉ <u>ᎠᏂᎦᏴᎵᎨ</u> ᎨᏎᎢ.
… and both were <u>advanced in their days</u>.
[ᎷᎦ 1:7]",,,,,
,,,,,,
ENTRY,ᎠᎧᎯᏱᎠ,akahi:yiʔa,vt,He is leaving it (something alive).,,
,ᏥᎧᎢᏱᎠ,ji:kaʔi:yiʔa,,,,
,ᎤᎧᎯᏴᎢ,u:kahi:yv̌ʔi,,,,
,ᎠᎧᎯᏱᏍᎪᎢ,akahi:yisgóʔi,,,,
,ᎯᎧᎯᏯ,hi:kahi:ya,,,,
,ᎤᎧᎯᏱᏍᏗ,u:kahi:yisdi,,,,
,,,,,,
ENTRY,ᎠᎧᎲᎠ,akahvʔa,vt,He is moving it (something solid).;,x,"King shows /kạhṿ/ ""move (solid) with a short ṿ and /kạhv/ ""push (anim)"" with a long v 
I recommend at least 2 entries.  "
,ᏥᎧᎥᎠ,jikaʔvʔa,,,Francis Doc shows plurals + non-plurals.,
,ᎤᎧᎲᏒᎢ,u:kahvsv̌ʔi,,,Francis shows three non-merged entries for this one.,
,ᎠᎧᎲᏍᎪᎢ,akahvsgóʔi,,,,
,ᎯᎧᎲᎾ,hikahvna,,,,
