entrytone|nounadjpluraltone|vfirstprestone|vthirdpasttone|vthirdprestone|vsecondimpertone|vthirdinftone|syllabaryb|nounadjpluralsyllf|vfirstpresh|vthirdpastsyllj|vthirdpressylll|vsecondimpersylln|vthirdinfsyllp|definitiond|id|source
a:tsv:si:ye:ɂa||ga:tsv:si:ye:ɂa|u:tsv:si:ye:ɂv̌:ɂi|a:tsv:si:ye:sgó:ɂi|ha:tsv:si:ya|u:tsv:si:ye:ɂdi|ᎠᏨᏏᏰᎠ||ᎦᏨᏏᏰᎠ|ᎤᏨᏏᏰᎥᎢ|ᎠᏨᏏᏰᏍᎪᎢ|ᎭᏨᏏᏯ|ᎤᏨᏏᏰᏗ|He is pacing back and forth|100213|rrd
atsv:di:ya|||||||ᎠᏨᏗᏯ|||||||Minnow|100214|rrd
atsvwa:sdiha||tsitsvwaɂsdiha|u:tsvwa:stanv̌:ɂi|atsvwa:sdisgó:ɂi|hitsvwa:sda|u:tsvwa:sdo:hdi|ᎠᏨᏩᏍᏗᎭ||ᏥᏨᏩᏍᏗᎭ|ᎤᏨᏩᏍᏔᏅᎢ|ᎠᏨᏩᏍᏗᏍᎪᎢ|ᎯᏨᏩᏍᏓ|ᎤᏨᏩᏍᏙᏗ|He is wringing it|100215|rrd
achv:ya|ani:chv:ya||||||ᎠᏨᏯ|ᎠᏂᏨᏯ||||||male (animal)|72185|ced
atsvya utso:nvdi|||||||ᎠᏨᏯ ᎤᏦᏅᏗ|||||||Timber rattlesnake, male.; biol. <em>Crotalus horridus.</em>|100217|rrd
atsv:ya:ɂi|||||||ᎠᏨᏯᎢ|||||||Rooster|100216|rrd
a:hwa u:tana|||||||ᎠᏩ ᎤᏔᎾ|||||||Elk.; biol. <em>Cervus canadensis.</em>|100218|rrd
awa:ni:gala|||||||ᎠᏩᏂᎦᎳ|||||||Weak|100219|rrd
awhsvha:sga||tsiwɂsvha:sga|u:wawsvha:hv̌:ɂi|awhsvha:sgó:ɂi|hiwhsvha:hi|u:wawsvha:sdi|ᎠᏩᏒᎭᏍᎦ||ᏥᏩᏒᎭᏍᎦ|ᎤᏩᏩᏒᎭᎲᎢ|ᎠᏩᏒᎭᏍᎪᎢ|ᎯᏩᏒᎭᎯ|ᎤᏩᏩᏒᎭᏍᏗ|He is whistling|100220|rrd
à:hwahtíha||jì:wahtíha|ù:hwahtv:hv̌:ɂi|à:hwahtǐ:sgóɂi|hì:wahta, hihwahta|u:hwahtvhdi|ᎠᏩᏘᎭ||ᏥᏩᏘᎭ|ᎤᏩᏛᎲᎢ|ᎠᏩᏘᏍᎪᎢ|ᎯᏩᏔ, ᎯᏩᏔ|ᎤᏩᏛᏗ|he's finding him, it|72395|ced
a:hwátiha||tsiɂwátiha|u:hwátvhv̌:ɂi|a:hwátisgó:ɂi|hihwáta|u:hwátv:hdi|ᎠᏩᏘᎭ||ᏥᏩᏘᎭ|ᎤᏩᏛᎲᎢ|ᎠᏩᏘᏍᎪᎢ|ᎯᏩᏔ|ᎤᏩᏛᏗ|He is finding it (a solid)|100221|rrd
a:hwatv:hi||tsiɂwatv:hi|u:hwatv:hesv̌:ɂi|a:hwatv:hi:só:ɂi|hihwatv:hu:ga|u:hwatv:hvsdi|ᎠᏩᏛᎯ||ᏥᏩᏛᎯ|ᎤᏩᏛᎮᏒᎢ|ᎠᏩᏛᎯᏐᎢ|ᎯᏩᏛᎱᎦ|ᎤᏩᏛᎲᏍᏗ|He is going to go visit someone|100222|rrd
à:hwahtv:hǐ:dô:ha||jì:wahtv:hǐ:dô:ha|ù:hwahtv:hǐ:dô:lv̌:ɂi|à:hwahtv:hǐ:dô:hó:ɂi|hì:wahtv:hǐ:da|u:hwahtv:hǐ:dâ:sdi|ᎠᏩᏛᎯᏙᎭ||ᏥᏩᏛᎯᏙᎭ|ᎤᏩᏛᎯᏙᎸᎢ|ᎠᏩᏛᎯᏙᎰᎢ|ᎯᏩᏛᎯᏓ|ᎤᏩᏛᎯᏓᏍᏗ|he's visiting him|72396|ced
a:hwatv:hi:doha||tsiɂwatv:hi:doha|u:hwatv:hi:do:ɂlv̌:ɂi|a:hwatv:hi:dohó:ɂi|hihwatv:hi:do:a|u:hwatv:hi:dásdi|ᎠᏩᏛᎯᏙᎭ||ᏥᏩᏛᎯᏙᎭ|ᎤᏩᏛᎯᏙᎸᎢ|ᎠᏩᏛᎯᏙᎰᎢ|ᎯᏩᏛᎯᏙᎠ|ᎤᏩᏛᎯᏓᏍᏗ|He is visiting|100223|rrd
a:hwi|||||||ᎠᏫ|||||||Deer.; White-tailed deer.; biol. <em>Odocoileus virginianus.</em>|100224|rrd
a:hwi akta|||||||ᎠᏫ ᎠᎦᏔ|||||||Deer-eye (black eyed susan)|100225|rrd
a:hwi ga:hngo:ɂi|||||||ᎠᏫ ᎦᏁᎪᎢ|||||||Deer tongue.; biol. <em>Chelone spp.</em>|100226|rrd
awi̋:na|ani:wi̋:na||||||ᎠᏫᎾ|ᎠᏂᏫᎾ||||||young man|72694|ced
awi:na|||||||ᎠᏫᎾ|||||||Boy, teenage|100227|rrd
awi:nű:ja|ani:wi:nű:ja||||||ᎠᏫᏄᏣ|ᎠᏂᏫᏄᏣ||||||adolescent boy|72695|ced
à:hwisga||jì:wisga|ù:hwisv̌:ɂi|à:hwisgó:ɂi|hihwi|u:hwisdi|ᎠᏫᏍᎦ||ᏥᏫᏍᎦ|ᎤᏫᏒᎢ|ᎠᏫᏍᎪᎢ|ᎯᏫ|ᎤᏫᏍᏗ|he's planting it|72398|ced
a:hwǐ:hsga||tsiɂwǐ:hsga|u:hwǐ:hsv̌:ɂi|a:hwǐ:hsgó:ɂi|hihwi|u:hwǐ:hsdi|ᎠᏫᏍᎦ||ᏥᏫᏍᎦ|ᎤᏫᏒᎢ|ᎠᏫᏍᎪᎢ|ᎯᏫ|ᎤᏫᏍᏗ|He is planting|100228|rrd
a:hwi:svdi:yu|||||||ᎠᏫᏒᏗᏳ|||||||A garden|100229|rrd
à:hwi:dí:ha||jì:wi:díha|ù:hwi:dv:hv̌:ɂi|à:hwi:dǐ:sgóɂi|hihwǐ:da|u:hwi:tdi|ᎠᏫᏗᎭ||ᏥᏫᏗᎭ|ᎤᏫᏛᎲᎢ|ᎠᏫᏗᏍᎪᎢ|ᎯᏫᏓ|ᎤᏫᏘᏗ|he's taking it somewhere|72397|ced
awi:di:ha||tsiwi:diɂa|u:wi:dv:hv̌:ɂi|awi:di:sgó:ɂi|hiwi:da|u:wi:tdi|ᎠᏫᏗᎭ||ᏥᏫᏗᎠ|ᎤᏫᏛᎲᎢ|ᎠᏫᏗᏍᎪᎢ|ᎯᏫᏓ|ᎤᏫᏘᏗ|He is carrying it (a solid) off|100230|rrd
awǒ:háɂli|||||||ᎠᏬᎭᎵ|||||||eagle|72696|ced
awohili|||||||ᎠᏬᎯᎵ|||||||Bald eagle.; American eagle.; Eagle.; biol. <em>Haliaeetus leucocephalus.</em>|100231|rrd
ayɂa||tsiyɂa|u:yv:ɂv̌:ɂi|ayi:sgó:ɂi|hiya|u:yhdi|ᎠᏯ||ᏥᏯ|ᎤᏴᎥᎢ|ᎠᏱᏍᎪᎢ|ᎯᏯ|ᎤᏯᏗ|He is picking it (something long) up|100232|rrd
aya, ayv|||||||ᎠᏯ, ᎠᏴ|||||||I, me, we, us., (see Gram. III, A)|72723|ced
à:yáa||jiyáa||à:yáɂó:ɂi|||ᎠᏯᎠ||ᏥᏯᎠ||ᎠᏯᎣᎢ|||he's inside|72697|ced
aya:ɂa|||u:ya:ɂe:sdv̌:ɂi|aya:ɂó:ɂi|waya:ɂe:sdi|u:ya:ɂe:sdi|ᎠᏯᎠ|||ᎤᏯᎡᏍᏛᎢ|ᎠᏯᎣᎢ|ᏩᏯᎡᏍᏗ|ᎤᏯᎡᏍᏗ|It (something alive) is in a liquid|100233|rrd
ayaɂa|||u:yaɂe:sdv̌:ɂi|ayaɂó:ɂi|wayaɂe:sdi|u:yaɂe:sdi|ᎠᏯᎠ|||ᎤᏯᎡᏍᏛᎢ|ᎠᏯᎣᎢ|ᏩᏯᎡᏍᏗ|ᎤᏯᎡᏍᏗ|It (something alive) is in a container|100234|rrd
ayaɂa||tsiyaɂa|u:yaɂe:sdv̌:ɂi|ayaɂó:ɂi|hiyaɂe:sdi|u:wa:sdi|ᎠᏯᎠ||ᏥᏯᎠ|ᎤᏯᎡᏍᏛᎢ|ᎠᏯᎣᎢ|ᎯᏯᎡᏍᏗ|ᎤᏩᏍᏗ|He is inside|100235|rrd
à:hyahkě:tsga||jì:yahkě:tsga|ù:hyahkě:tsv́:ɂi|à:hyahkě:tsgóɂi|hihyahkě:tsa|u:hyahkě:tsdi|ᎠᏯᎨᏗᏍᎦ||ᏥᏯᎨᏗᏍᎦ|ᎤᏯᎨᏗᏒᎢ|ᎠᏯᎨᏗᏍᎪᎢ|ᎯᏯᎨᏗᏌ|ᎤᏯᎨᏗᏍᏗ|he's peeling it|72400|ced
ayágiɂa||tsiyágiɂa|u:yági:v̌:ɂi|ayági:sgó:ɂi|hiyága|u:yági:sdi|ᎠᏯᎩᎠ||ᏥᏯᎩᎠ|ᎤᏯᎩᎥᎢ|ᎠᏯᎩᏍᎪᎢ|ᎯᏯᎦ|ᎤᏯᎩᏍᏗ|He is eating it (something flexible)|100236|rrd
ayalv:ɂv:sga||tsiyalv:ɂvɂsga|u:yalv:ɂnv̌:ɂi|ayalv:ɂv:sgó:ɂi|hiyalv:ɂv:ga|u:yalv:ɂdi|ᎠᏯᎸᎥᏍᎦ||ᏥᏯᎸᎥᏍᎦ|ᎤᏯᎸᏅᎢ|ᎠᏯᎸᎥᏍᎪᎢ|ᎯᏯᎸᎥᎦ|ᎤᏯᎸᏗ|He is sticking it to something.; He is attaching it to something|100237|rrd
à:hyaníha||jì:yaníha|ù:hyanv:hv̌:ɂi|à:hyanǐ:sgóɂi|hì:yana|u:hyanhdi|ᎠᏯᏂᎭ||ᏥᏯᏂᎭ|ᎤᏯᏅᎲᎢ|ᎠᏯᏂᏍᎪᎢ|ᎯᏯᎾ|ᎤᏯᏅᏗ|1. he's calling him, inviting him. 2. he's receiving, getting him|72403|ced
à:yániha||tsì:ɂyániha|ù:yánvhv̌:ɂi|à:yánisgó:ɂi|hì:ɂyána|ù:yánhdi|ᎠᏯᏂᎭ||ᏥᏯᏂᎭ|ᎤᏯᏅᎲᎢ|ᎠᏯᏂᏍᎪᎢ|ᎯᏯᎾ|ᎤᏯᏅᏗ|He is calling out for him|100238|rrd
a:yanű:li|di:ni:yanű:li||||||ᎠᏯᏄᎵ|ᏗᏂᏯᏄᎵ||||||fast|72698|ced
ayhsge:ni|||||||ᎠᏯᏍᎨᏂ|||||||The crown of his head|100239|rrd
aya:de:hysdiha||tsiya:deɂysdiha|u:ya:de:hystanv̌:ɂi|aya:de:hysdisgó:ɂi|hiya:de:hysda|u:ya:de:hysdo:hdi|ᎠᏯᏕᏴᏍᏗᎭ||ᏥᏯᏕᏴᏍᏗᎭ|ᎤᏯᏕᏴᏍᏔᏅᎢ|ᎠᏯᏕᏴᏍᏗᏍᎪᎢ|ᎯᏯᏕᏴᏍᏓ|ᎤᏯᏕᏴᏍᏙᏗ|He is surrounding it|100240|rrd
ayaté:na|||||||ᎠᏯᏖᎾ|||||||Wide.; Flat.; A board|100241|rrd
à:yâ:tohíha||jiyâ:tohíha|ù:yâ:tohlv̌:ɂi|à:yâ:tohihó:ɂi|hiyà:tohi|u:yà:tohísdi|ᎠᏯᏙᎯᎭ||ᏥᏯᏙᎯᎭ|ᎤᏯᏙᏢᎢ|ᎠᏯᏙᎯᎰᎢ|ᎯᏯᏙᎯ|ᎤᏯᏙᎯᏍᏗ|he's distributing it|72699|ced
áyà:tohihi|anǐ:yà:tohihi||||||ᎠᏯᏙᎯᎯ|ᎠᏂᏯᏙᎯᎯ||||||1. one who distributes, 2. deacon|72700|ced
aya:do:hlvɂi|||||||ᎠᏯᏙᎸᎢ|||||||A portion.; A chapter.; A share|100242|rrd
à:yâ:tohlv̋:ɂi|dà:yâ:tohlv̋:ɂi||||||ᎠᏯᏙᏢᎢ|ᏓᏯᏙᏢᎢ||||||chapter|72701|ced
à:hyahtv̌:hv́sga|||ù:hyahtv̌:hnv́:ɂi|à:hyahtv̌:hv́sgó:ɂi||u:hyahtv́:tdi|ᎠᏯᏛᎲᏍᎦ|||ᎤᏯᏛᏅᎢ|ᎠᏯᏛᎲᏍᎪᎢ||ᎤᏯᏛᏘᏗ|it's (the ground) becoming frosty|72402|ced
á:hyahldi|dí:hyahldi||||||ᎠᏯᏟᏗ|ᏗᏯᏟᏗ||||||necklace|72401|ced
a:hyadlv̋:di|di:hyadlv̋:di||||||ᎠᏯᏢᏗ|ᏗᏯᏢᏗ||||||necktie|72399|ced
a:hyatsv:hdi|||||||ᎠᏯᏨᏗ|||||||Harness.; Collar.; Necklace.; Necktie|100243|rrd
à:yé:ɂisdiha||ji:yé:ɂisdíha|ù:yé:ɂistánv́:ɂi|à:yé:ɂisdǐ:sgóɂi|hi:yeɂisda|u:yeɂisdóhdi|ᎠᏰᎢᏍᏗᎭ||ᏥᏰᎢᏍᏗᎭ|ᎤᏰᎢᏍᏔᏅᎢ|ᎠᏰᎢᏍᏗᏍᎪᎢ|ᎯᏰᎢᏍᏓ|ᎤᏰᎢᏍᏙᏗ|he's waking him up|72704|ced
à:hyé:ga||jì:yé:ga|ù:hyv́:sv̌:ɂi|à:hyé:gó:ɂi|hihyù:ga|u:hyv̀:sdi|ᎠᏰᎦ||ᏥᏰᎦ|ᎤᏴᏒᎢ|ᎠᏰᎪᎢ|ᎯᏳᎦ|ᎤᏴᏍᏗ|he's taking it somewhere by hand|72404|ced
à:yé:ga||jiyé:ga|ù:yé:jv̌:ɂi|à:yé:gó:ɂi|hiyè:gi|u:yeɂisdi|ᎠᏰᎦ||ᏥᏰᎦ|ᎤᏰᏨᎢ|ᎠᏰᎪᎢ|ᎯᏰᎩ|ᎤᏰᎢᏍᏗ|he's waking up|72702|ced
