entrytone|nounadjpluraltone|vfirstprestone|vthirdpasttone|vthirdprestone|vsecondimpertone|vthirdinftone|syllabaryb|nounadjpluralsyllf|vfirstpresh|vthirdpastsyllj|vthirdpressylll|vsecondimpersylln|vthirdinfsyllp|definitiond|id|source
á:ɂi||gá:ɂi|á:ɂi:sv̌:ɂi|á:ɂi:só:ɂi|||ᎠᎢ||ᎦᎢ|ᎠᎢᏒᎢ|ᎠᎢᏐᎢ|||he's walking|72423|ced
a:ɂi||ga:ɂi||a:ɂi:só:ɂi|||ᎠᎢ||ᎦᎢ||ᎠᎢᏐᎢ|||He is walking|99715|rrd
aɂv:sga||tsiɂvɂsga|u:ɂnv̌:ɂi|aɂv:sgó:ɂi|hiɂv:ga|u:ɂv:sdi|ᎠᎥᏍᎦ||ᏥᎥᏍᎦ|ᎤᏅᎢ|ᎠᎥᏍᎪᎢ|ᎯᎥᎦ|ᎤᎥᏍᏗ|He is placing it (a solid) on the ground|99716|rrd
aɂv:si||tsi:ɂvɂsi|u:ɂnelv̌:ɂi|aɂne:hó:ɂi|hi:ɂvɂsi|u:ɂnhdi|ᎠᎥᏏ||ᏥᎥᏏ|ᎤᏁᎸᎢ|ᎠᏁᎰᎢ|ᎯᎥᏏ|ᎤᏁᏗ|He is handing it (a solid) to him|99717|rrd
à:gâlsga||jigâlsga|ù:gâlsv̌:ɂi|à:gâlsgó:ɂi|higaɂla|u:gàlsdi|ᎠᎦᎳᏍᎦ||ᏥᎦᎳᏍᎦ|ᎤᎦᎳᏒᎢ|ᎠᎦᎵᏍᎪᎢ|ᎯᎦᎳ|ᎤᎦᎳᏍᏗ|1.  he's breaking a flexible object, 2. He's cutting a flexible object|72298|ced
à:gá:liha|||ù:gá:li:sv̌:ɂi|à:gá:li:sgó:ɂi||u:ga:lǐ:hísdi|ᎠᎦᎵᎭ|||ᎤᎦᎵᏒᎢ|ᎠᎦᎵᏍᎪᎢ||ᎤᎦᎵᎯᏍᏗ|it's (sun or moon) shining|72297|ced
aga:líha|||u:ga:lǐ:hsv̌:ɂi|aga:lǐ:hsgó:ɂi|waga:líhi|u:ga:líhisdi|ᎠᎦᎵᎭ|||ᎤᎦᎵᏒᎢ|ᎠᎦᎵᏍᎪᎢ|ᏩᎦᎵᎯ|ᎤᎦᎵᎯᏍᏗ|It (the sun) is shining|99718|rrd
agaɂli:sga||tsigaɂliɂsga|u:gaɂli:sv̌:ɂi|agaɂli:sgó:ɂi|higaɂli:ga|u:gaɂli:sdi|ᎠᎦᎵᏍᎦ||ᏥᎦᎵᏍᎦ|ᎤᎦᎵᏒᎢ|ᎠᎦᎵᏍᎪᎢ|ᎯᎦᎵᎦ|ᎤᎦᎵᏍᏗ|He is cutting it (something flexible) off|99719|rrd
a:galǔ:ga|||||||ᎠᎦᎷᎦ|||||||twister (tornado)|72299|ced
agáɂnakti|ani:gáɂnakti||||||ᎠᎦᎾᎦᏘ|ᎠᏂᎦᎾᎦᏘ||||||doctor|72301|ced
à:ganǎ:díɂa||jiganǎ:díɂa|ù:ganǎ:dv̌:ɂi|à:ganǎ:dî:sgó:ɂi|higanǎ:da|u:ganǎ:dî:sdi|ᎠᎦᎾᏗᎠ||ᏥᎦᎾᏗᎠ|ᎤᎦᎾᏛᎢ|ᎠᎦᎾᏗᏍᎪᎢ|ᎯᎦᎾᏓ|ᎤᎦᎾᏗᏍᏗ|he's licking it|72300|ced
aga:nawohisdi|||||||ᎠᎦᎾᏬᎯᏍᏗ|||||||Heater|99720|rrd
à:ga:nawo:sga|||ù:ga:nawo:sv̌:ɂi|à:ga:nawo:sgó:ɂi||u:ga:nawo:hisdi|ᎠᎦᎾᏬᏍᎦ|||ᎤᎦᎾᏬᏒᎢ|ᎠᎦᎾᏬᏍᎪᎢ||ᎤᎦᎾᏬᎯᏍᏗ|it's getting warm|72303|ced
à:ga:nawhdíha||jiga:nawò:díha, ji:ga:nawò:díha|ù:ga:nawhtanv́:ɂi|à:ga:nawhdǐ:sgóɂi|higa:nawhda, hi:ga:nawò:da|u:ga:nawhdóhdi|ᎠᎦᎾᏬᏗᎭ||ᏥᎦᎾᏬᏗᎭ, ᏥᎦᎾᏬᏗᎭ|ᎤᎦᎾᏬᏔᏅᎢ|ᎠᎦᎾᏬᏗᏍᎪᎢ|ᎯᎦᎾᏬᏓ, ᎯᎦᎾᏬᏓ|ᎤᎦᎾᏬᏙᏗ|he's warming it|72302|ced
a:gane:sdi|||||||ᎠᎦᏁᏍᏗ|||||||Button|99721|rrd
à:ga:sga|||ù:ga:hnanv́:ɂi|à:ga:sgó:ɂi||u:ganhdi|ᎠᎦᏍᎦ|||ᎤᎦᎿᏅᎢ|ᎠᎦᏍᎪᎢ||ᎤᎦᏅᏗ|it's raining|72304|ced
aksgani|||||||ᎠᎦᏍᎦᏂ|||||||left|72458|ced
aksgáni̋:da|a:ni:ksgáni̋:da||||||ᎠᎦᏍᎦᏂᏓ|ᎠᏂᎦᏍᎦᏂᏓ||||||lefthanded|72459|ced
a:gasgi|||||||ᎠᎦᏍᎩ|||||||Rain|99722|rrd
aksgvni:da|||||||ᎠᎦᏍᎬᏂᏓ|||||||His left.; Left-handedness|99723|rrd
à:ksósga||jigà:sósga|ù:ksósv̌:ɂi|à:ksósgó:ɂi|hiksò:hi|u:ksò:hisdi|ᎠᎦᏐᏍᎦ||ᏥᎦᏐᏍᎦ|ᎤᎦᏐᏒᎢ|ᎠᎦᏐᏍᎪᎢ|ᎯᎦᏐᎯ|ᎤᎦᏐᎯᏍᏗ|he's going down hill|72460|ced
à:kso:sgv̋:ɂi|dà:kso:sgv̋:ɂi||||||ᎠᎦᏐᏍᎬᎢ|ᏓᎦᏐᏍᎬᎢ||||||downhill route|72461|ced
a:gasǒ:hdiha||ga:gasoɂdiha|u:gasǒ:htanv̌:ɂi|a:gasǒ:hdisgó:ɂi|ha:gasǒ:hda|u:gasǒ:hdo:hdi|ᎠᎦᏐᏗᎭ||ᎦᎦᏐᏗᎭ|ᎤᎦᏐᏔᏅᎢ|ᎠᎦᏐᏗᏍᎪᎢ|ᎭᎦᏐᏓ|ᎤᎦᏐᏙᏗ|He is going down hill|99724|rrd
agà:su:ye̋:da|ge:gà:su:ye̋:da||||||ᎠᎦᏑᏰᏓ|ᎨᎦᏑᏰᏓ||||||a person who has been chosen|72305|ced
aga:da|||||||ᎠᎦᏓ|||||||Much|99725|rrd
aga:da:ha̋:ɂi|ani:ga:da:ha̋:ɂi||||||ᎠᎦᏓᎭᎢ|ᎠᏂᎦᏓᎭᎢ||||||dirty (animate)|72295|ced
akta|di:kta||||||ᎠᎦᏔ|ᏗᎦᏔ||||||eye|72462|ced
akta|||||||ᎠᎦᏔ|||||||Eye ball|99726|rrd
à:ktaha||jigà:taha||à:ktahó:ɂi|||ᎠᎦᏔᎭ||ᏥᎦᏔᎭ||ᎠᎦᏔᎰᎢ|||he knows how|72463|ced
akta:ha||tsiga:ta:ha||akta:hó:ɂi|||ᎠᎦᏔᎭ||ᏥᎦᏔᎭ||ᎠᎦᏔᎰᎢ|||He is knowing it|99727|rrd
áktahi|anǐ:ktahi||||||ᎠᎦᏔᎯ|ᎠᏂᎦᏔᎯ||||||witness|72464|ced
à:ktahv́:ɂa||gagà:tahv́:ɂa|ù:ktahv́:sv̌:ɂi|à:ktahv́:sgó:ɂi|haktahv̌:na|u:ktahv̀:sdi|ᎠᎦᏔᎲᎠ||ᎦᎦᏔᎲᎠ|ᎤᎦᏔᎲᏒᎢ|ᎠᎦᏔᎲᏍᎪᎢ|ᎭᎦᏔᎲᎾ|ᎤᎦᏔᎲᏍᏗ|1. he's turning back 2. he's turning (his head or body)|72466|ced
a:kta:hvɂa||ga:gaɂta:hvɂa|u:kta:hvsv̌:ɂi|a:kta:hvsgó:ɂi|ha:kta:hvna|u:kta:hvsdi|ᎠᎦᏔᎲᎠ||ᎦᎦᏔᎲᎠ|ᎤᎦᏔᎲᏒᎢ|ᎠᎦᏔᎲᏍᎪᎢ|ᎭᎦᏔᎲᎾ|ᎤᎦᏔᎲᏍᏗ|He is turning|99728|rrd
áktahnaɂi|anǐ:ktahnaɂi||||||ᎠᎦᏔᎿᎢ|ᎠᏂᎦᏔᎿᎢ||||||knowledgeable|72465|ced
à:ktâ:sdiha||gagà:tâ:sdiha|ù:ktâ:stanv̌:ɂi|à:ktâ:sdi:sgó:ɂi|haktà:sda|u:ktà:sdóhdi|ᎠᎦᏔᏍᏗᎭ||ᎦᎦᏔᏍᏗᎭ|ᎤᎦᏔᏍᏔᏅᎢ|ᎠᎦᏔᏍᏗᏍᎪᎢ|ᎭᎦᏔᏍᏓ|ᎤᎦᏔᏍᏙᏗ|he's winking|72467|ced
à:kte:lu:hv́sga||ji:gà:te:lu:hv́sga|ù:kte:lu:hnv̌:ɂi|à:kte:lu:hvsgó:ɂi|hi:gà:te:lu:hv̀:ga|u:kte:luhdi|ᎠᎦᏖᎷᎲᏍᎦ||ᏥᎦᏖᎷᎲᏍᎦ|ᎤᎦᏖᎷᏅᎢ|ᎠᎦᏖᎷᎲᏍᎪᎢ|ᎯᎦᏖᎷᎲᎦ|ᎤᎦᏖᎷᏗ|he's hitting him on the eye|72468|ced
agate:na|||||||ᎠᎦᏖᎾ|||||||Lace|99729|rrd
aktě:nâ:sdi̋:ɂi|||||||ᎠᎦᏖᎾᏍᏗᎢ|||||||scenery|72469|ced
à:kté:noha||jigà:té:noha|ù:ktě:nô:lv̌:ɂi|à:kté:nohó:ɂi|hikte:naga|u:ktě:nâ:sdi|ᎠᎦᏖᏃᎭ||ᏥᎦᏖᏃᎭ|ᎤᎦᏖᏃᎸᎢ|ᎠᎦᏖᏃᎰᎢ|ᎯᎦᏖᎾᎦ|ᎤᎦᏖᎾᏍᏗ|he's looking around|72470|ced
à:ktiha||gagà:tiha|ù:ktahnv̌:ɂi|à:ktǐ:sgóɂi|hakta|u:ktohdi|ᎠᎦᏘᎭ||ᎦᎦᏘᎭ|ᎤᎦᏔᏅᎢ|ᎠᎦᏘᏍᎪᎢ|ᎭᎦᏔ|ᎤᎦᏙᏗ|he's peeking through|72471|ced
akti:si|ani:kti:si||||||ᎠᎦᏘᏏ|ᎠᏂᎦᏘᏏ||||||1.n.right position, right hand,  2. adj. right-handed|72472|ced
à:ktǐ:ya||ji:gà:tǐ:ya, jigà:tǐ:ya|ù:ktí:dv̌:ɂi|à:ktǐ:yóɂi|hi:gà:tǐ:da, hiktǐ:da|u:ktǐ:dî:sdi|ᎠᎦᏘᏯ||ᏥᎦᏘᏯ, ᏥᎦᏘᏯ|ᎤᎦᏘᏛᎢ|ᎠᎦᏘᏲᎢ|ᎯᎦᏘᏓ, ᎯᎦᏘᏓ|ᎤᎦᏘᏗᏍᏗ|he's waiting for him/it|72473|ced
akti:ya||tsiga:ti:ya|ukti:dɂv̌:ɂi|akti:yó:ɂi|hikti:di|ukti:disdi|ᎠᎦᏘᏯ||ᏥᎦᏘᏯ|ᎤᎦᏘᏛᎢ|ᎠᎦᏘᏲᎢ|ᎯᎦᏘᏗ|ᎤᎦᏘᏗᏍᏗ|He is watching for him, it.; He is waiting for him, it.; He is watching over him, it|99730|rrd
akti̋:yi|ani:kti̋:yi||||||ᎠᎦᏘᏱ|ᎠᏂᎦᏘᏱ||||||guard|72474|ced
aktoɂvhísdi|||||||ᎠᎦᏙᎥᎯᏍᏗ|||||||wisdom|72479|ced
à:ktô:hvsga||jigà:tô:hvsga|ù:ktô:hvsv̌:ɂi|à:ktô:hvsgó:ɂi|hiktoɂvhi|u:ktoɂv́hísdi|ᎠᎦᏙᎲᏍᎦ||ᏥᎦᏙᎲᏍᎦ|ᎤᎦᏙᎲᏒᎢ|ᎠᎦᏙᎲᏍᎪᎢ|ᎯᎦᏙᎥᎯ|ᎤᎦᏙᎥᎯᏍᏗ|he's becoming wise|72476|ced
aktő:li|di:ktő:li||||||ᎠᎦᏙᎵ|ᏗᎦᏙᎵ||||||his eye|72477|ced
akto:li|ditsikto:li||||||ᎠᎦᏙᎵ|ᏗᏥᎦᏙᎵ||||||His eye|99731|rrd
à:ktǒ:sdi||ji:yagà:tǒ:sdi,gàgà:tǒ:sdi|ù:ktǒ:stánv̌:ɂi|à:ktǒ:sdí:sgó:ɂi|hi:yagà:tǒ:sda, haktǒ:sda|u:ktǒ:sdóhdi|ᎠᎦᏙᏍᏗ||ᏥᏯᎦᏙᏍᏗ,ᎦᎦᏙᏍᏗ|ᎤᎦᏙᏍᏔᏅᎢ|ᎠᎦᏙᏍᏗᏍᎪᎢ|ᎯᏯᎦᏙᏍᏓ, ᎭᎦᏙᏍᏓ|ᎤᎦᏙᏍᏙᏗ|he's looking at him/it|72478|ced
a:kto:sdiha||ga:kdo:sdiha|u:kto:sdanv̌:ɂi|a:kto:sdisgó:ɂi|ha:kto:sda|u:kto:sdo:hdi|ᎠᎦᏙᏍᏗᎭ||ᎦᎦᏙᏍᏗᎭ|ᎤᎦᏙᏍᏓᏅᎢ|ᎠᎦᏙᏍᏗᏍᎪᎢ|ᎭᎦᏙᏍᏓ|ᎤᎦᏙᏍᏙᏗ|He is looking at it|99732|rrd
aktohdi|dǐ:ktohdi||||||ᎠᎦᏙᏗ|ᏗᎦᏙᏗ||||||telescope|72475|ced
akdv́:hv:sga||à:gikdv́:ɂv:sga|u:kdv́:hnv̌:ɂi|akdv́:hv:sgó:ɂi|hikdv́:hv:ga|u:kdv́:hdi|ᎠᎦᏛᎲᏍᎦ||ᎠᎩᎦᏛᎥᏍᎦ|ᎤᎦᏛᏅᎢ|ᎠᎦᏛᎲᏍᎪᎢ|ᎯᎦᏛᎲᎦ|ᎤᎦᏛᏗ|He is investigating it|99733|rrd
aktv́ɂle:ha||tsigaɂtv́ɂle:ha|u:ktv́ɂle:sv̌:ɂi|aktv́ɂle:sgó:ɂi|hiktv́ɂle:hi|u:ktv́ɂle:sdi|ᎠᎦᏛᎴᎭ||ᏥᎦᏛᎴᎭ|ᎤᎦᏛᎴᏒᎢ|ᎠᎦᏛᎴᏍᎪᎢ|ᎯᎦᏛᎴᎯ|ᎤᎦᏛᎴᏍᏗ|He is going through.; He is passing a grade|99734|rrd
à:ktv́:le:sga||jigà:tv́:le:sga|ù:ktv́:le:sv̌:ɂi|à:ktv́:le:sgó:ɂi|hiktv:lě:hi|u:ktv:lě:hísdi|ᎠᎦᏛᎴᏍᎦ||ᏥᎦᏛᎴᏍᎦ|ᎤᎦᏛᎴᏒᎢ|ᎠᎦᏛᎴᏍᎪᎢ|ᎯᎦᏛᎴᎯ|ᎤᎦᏛᎴᎯᏍᏗ|he/it is going through it|72480|ced
agahli̋:yi|ani:gahli̋:yi||||||ᎠᎦᏟᏱ|ᎠᏂᎦᏟᏱ||||||eager|72296|ced
a:ga:tsinvgo:ga|||u:ga:tsinvgo:tsv̌:ɂi|a:ga:tsinvgo:gó:ɂi|wa:ga:tsinvgo:esdi|u:ga:tsinvgo:ɂi:sdi|ᎠᎦᏥᏅᎪᎦ|||ᎤᎦᏥᏅᎪᏨᎢ|ᎠᎦᏥᏅᎪᎪᎢ|ᏩᎦᏥᏅᎪᎡᏍᏗ|ᎤᎦᏥᏅᎪᎢᏍᏗ|It is rusting|99735|rrd
aga:yalú:di|di:ga:yalú:di||||||ᎠᎦᏯᎷᏗ|ᏗᎦᏯᎷᏗ||||||seine|72306|ced
aga:hyula:di|||||||ᎠᎦᏳᎳᏗ|||||||Seine.; Net|99736|rrd
agayv̋:li|ani:gayv̋:li||||||ᎠᎦᏴᎵ|ᎠᏂᎦᏴᎵ||||||old (animate)|72307|ced
agayv:li|||||||ᎠᎦᏴᎵ|||||||One thousand|99737|rrd
agayv̌:líge̋:ɂi|ani:gayv̌:líge̋:ɂi||||||ᎠᎦᏴᎵᎨᎢ|ᎠᏂᎦᏴᎵᎨᎢ||||||old woman|72308|ced
agayv:lige:ɂi|||||||ᎠᎦᏴᎵᎨᎢ|||||||Woman, elderly|99738|rrd
akahi:yiɂa||tsi:kaɂi:yiɂa|u:kahi:yv̌:ɂi|akahi:yisgó:ɂi|hi:kahi:ya|u:kahi:yisdi|ᎠᎧᎯᏱᎠ||ᏥᎧᎢᏱᎠ|ᎤᎧᎯᏴᎢ|ᎠᎧᎯᏱᏍᎪᎢ|ᎯᎧᎯᏯ|ᎤᎧᎯᏱᏍᏗ|He is leaving it (something alive)|99739|rrd
akahvɂa||tsi:kaɂvɂa|u:kahvsv̌:ɂi|akahvsgó:ɂi|hi:kahvna|u:kahvsdi|ᎠᎧᎲᎠ||ᏥᎧᎥᎠ|ᎤᎧᎲᏒᎢ|ᎠᎧᎲᏍᎪᎢ|ᎯᎧᎲᎾ|ᎤᎧᎲᏍᏗ|He is moving it (a solid).; He is pushing it (something alive) aside.; He is clearing it (something alive) away|99740|rrd
a:kahvɂa||tsi:ya:kaɂvɂa|u:kahvsv̌:ɂi|a:kahvsgó:ɂi|hi:ya:kaɂvna|u:kahvsdi|ᎠᎧᎲᎠ||ᏥᏯᎧᎥᎠ|ᎤᎧᎲᏒᎢ|ᎠᎧᎲᏍᎪᎢ|ᎯᏯᎧᎥᎾ|ᎤᎧᎲᏍᏗ|He is moving it (something alive)|99741|rrd
akali:ɂiha||tsiɂkali:ɂiha|u:kali:ɂlv̌:ɂi|akali:ɂihó:ɂi|hikali:tsa|u:kali:ɂisdi|ᎠᎧᎵᎢᎭ||ᏥᎧᎵᎢᎭ|ᎤᎧᎵᎸᎢ|ᎠᎧᎵᎢᎰᎢ|ᎯᎧᎵᏣ|ᎤᎧᎵᎢᏍᏗ|He is filling it|99742|rrd
aka:ne:ha||tsi:ka:neɂa|u:ka:nelv̌:ɂi|aka:ne:hó:ɂi|hi:kav:sdi|u:ka:nhdi|ᎠᎧᏁᎭ||ᏥᎧᏁᎠ|ᎤᎧᏁᎸᎢ|ᎠᎧᏁᎰᎢ|ᎯᎧᎥᏍᏗ|ᎤᎧᏁᏗ|He is giving it (something alive) to him|99743|rrd
aka:ne:li||tsi:ka:ne:li|u:ka:ne:ɂlv̌:ɂi|aka:ne:li:só:ɂi|hi:ka:ne:lu:ga|u:ka:ne:hldi|ᎠᎧᏁᎵ||ᏥᎧᏁᎵ|ᎤᎧᏁᎸᎢ|ᎠᎧᏁᎵᏐᎢ|ᎯᎧᏁᎷᎦ|ᎤᎧᏁᎵᏗ|He is taking it (something alive) to him|99744|rrd
akaně:sdi|di:kaně:sdi||||||ᎠᎧᏁᏍᏗ|ᏗᎧᏁᏍᏗ||||||1.badge 2.pin|72447|ced
akani||tsigaɂni|u:kanesv̌:ɂi|akani:só:ɂi|hikanu:ga|u:kanvsdi|ᎠᎧᏂ||ᏥᎦᏂ|ᎤᎧᏁᏒᎢ|ᎠᎧᏂᏐᎢ|ᎯᎧᏄᎦ|ᎤᎧᏅᏍᏗ|He is returning an animal|99745|rrd
aka:nv:ɂi|de:tsika:nv:ɂi||||||ᎠᎧᏅᎢ|ᏕᏥᎧᏅᎢ||||||His eye|99746|rrd
a:kasge̋:ni|di:kasge̋:ni||||||ᎠᎧᏍᎨᏂ|ᏗᎧᏍᎨᏂ||||||his hip|72448|ced
aka:sge:ni|ditsika:sge:ni||||||ᎠᎧᏍᎨᏂ|ᏗᏥᎧᏍᎨᏂ||||||His hip|99747|rrd
a:kásesdiha||ga:kásesdiha|u:kásesdaɂnv̌:ɂi|a:kásesdisgó:ɂi|ha:kásesda|u:kásesdo:hdi|ᎠᎧᏎᏍᏗᎭ||ᎦᎧᏎᏍᏗᎭ|ᎤᎧᏎᏍᏓᏅᎢ|ᎠᎧᏎᏍᏗᏍᎪᎢ|ᎭᎧᏎᏍᏓ|ᎤᎧᏎᏍᏙᏗ|He is watching it|99748|rrd
a:kátiha||ga:kádiha|u:káta:nv̌:ɂi|a:kátisgó:ɂi|ha:káta|u:káto:hdi|ᎠᎧᏘᎭ||ᎦᎧᏗᎭ|ᎤᎧᏔᏅᎢ|ᎠᎧᏘᏍᎪᎢ|ᎭᎧᏔ|ᎤᎧᏙᏗ|He is peeking|99749|rrd
aka:hyo:sga||tsiɂka:hyo:sga|u:ka:hyo:sv̌:ɂi|aka:hyo:sgó:ɂi|hika:hyo:hi|u:ka:hyo:hisdi|ᎠᎧᏲᏍᎦ||ᏥᎧᏲᏍᎦ|ᎤᎧᏲᏒᎢ|ᎠᎧᏲᏍᎪᎢ|ᎯᎧᏲᎯ|ᎤᎧᏲᎯᏍᏗ|He is drying out|99750|rrd
aka:hyǒhdiha||tsika:hyǒhdiha|u:ka:hyǒhtanv̌:ɂi|aka:hyǒhdisgó:ɂi|hika:hyǒhda|u:ka:hyǒhdo:hdi|ᎠᎧᏲᏗᎭ||ᏥᎧᏲᏗᎭ|ᎤᎧᏲᏔᏅᎢ|ᎠᎧᏲᏗᏍᎪᎢ|ᎯᎧᏲᏓ|ᎤᎧᏲᏙᏗ|He is drying it out.; He is preserving it|99751|rrd
á:ge̋|||||||ᎠᎨ|||||||over there|72309|ced
à:kě:hê:ga||jì:kě:hê:ga|ù:kě:hv̂:sv̌:ɂi|à:kě:hê:gó:ɂi|hì:ke:hù:ga, hike:hù:ga|ù:kě:hv̂:sdi|ᎠᎨᎮᎦ||ᏥᎨᎮᎦ|ᎤᎨᎲᏒᎢ|ᎠᎨᎮᎪᎢ|ᎯᎨᎱᎦ, ᎯᎨᎱᎦ|ᎤᎨᎲᏍᏗ|he's chasing him, it|72449|ced
akehi||tsi:ɂkehi|u:kehesv̌:ɂi|ake:hɂsó:ɂi|hi:kehu:ga|u:kehvsdi|ᎠᎨᎯ||ᏥᎨᎯ|ᎤᎨᎮᏒᎢ|ᎠᎨᏐᎢ|ᎯᎨᎱᎦ|ᎤᎨᎲᏍᏗ|He is chasing him/it|99752|rrd
agě:hya|ani:gě:hya||||||ᎠᎨᏯ|ᎠᏂᎨᏯ||||||woman|72310|ced
age:hya|||||||ᎠᎨᏯ|||||||Woman|99754|rrd
age:ɂya||tsige:ɂya|u:ge:ɂyv:sv̌:ɂi|age:ɂyó:ɂi|hige:ɂya|u:ge:ɂyv:sdi|ᎠᎨᏯ||ᏥᎨᏯ|ᎤᎨᏴᏒᎢ|ᎠᎨᏲᎢ|ᎯᎨᏯ|ᎤᎨᏴᏍᏗ|He is flowing|99753|rrd
age:hydiha||tsi:geɂydiha|u:ge:hytanv̌:ɂi|age:hydisgó:ɂi|hi:ge:hyda|u:ge:hydo:hdi|ᎠᎨᏯᏗᎭ||ᏥᎨᏯᏗᎭ|ᎤᎨᏯᏔᏅᎢ|ᎠᎨᏯᏗᏍᎪᎢ|ᎯᎨᏯᏓ|ᎤᎨᏯᏙᏗ|He is refusing to give him|99755|rrd
age:hyű:ja|ani:ge:hyű:ja||||||ᎠᎨᏳᏣ|ᎠᏂᎨᏳᏣ||||||girl|72311|ced
agi-|||||||ᎠᎩ-|||||||first person, singular subject (see Gram. I, B)|72312|ced
ak-|||||||ᎠᎩ-|||||||(see agi-)|72446|ced
à:gíɂa||jigíɂa|ù:gv̌:ɂi|à:gî:sgó:ɂi|higa|u:gì:sdi|ᎠᎩᎠ||ᏥᎩᎠ|ᎤᎬᎢ|ᎠᎩᏍᎪᎢ|ᎯᎦ|ᎤᎩᏍᏗ|he's eating it (a single solid food)|72313|ced
à:gí:ɂa||jigí:ɂa|ù:gí:sv̌:ɂi|à:gí:sgó:ɂi|higi|u:gì:sdi|ᎠᎩᎠ||ᏥᎩᎠ|ᎤᎩᏒᎢ|ᎠᎩᏍᎪᎢ|ᎯᎩ|ᎤᎩᏍᏗ|1. he's picking it up  2. he's getting it|72314|ced
agí:ɂa||tsigí:ɂa|u:gí:sv̌:ɂi|agí:sgó:ɂi|higi|u:gí:sdi|ᎠᎩᎠ||ᏥᎩᎠ|ᎤᎩᏒᎢ|ᎠᎩᏍᎪᎢ|ᎯᎩ|ᎤᎩᏍᏗ|He is picking it (a solid) up.; He is getting it (a solid).; He is obtaining it (a solid)|99756|rrd
agiɂa||tsigiɂa|u:gɂv̌:ɂi|agi:sgó:ɂi|higa|u:gi:sdi|ᎠᎩᎠ||ᏥᎩᎠ|ᎤᎬᎢ|ᎠᎩᏍᎪᎢ|ᎯᎦ|ᎤᎩᏍᏗ|He is eating it (a solid)|99757|rrd
agi:ɂe:ha||tsi:gi:ɂeɂa|u:gi:ɂeɂlv̌:ɂi|agi:ɂe:hó:ɂi|hi:gi:ɂi|u:gi:ɂe:hdi|ᎠᎩᎡᎭ||ᏥᎩᎡᎠ|ᎤᎩᎡᎸᎢ|ᎠᎩᎡᎰᎢ|ᎯᎩᎢ|ᎤᎩᎡᏗ|He is taking it (a solid) from him|99758|rrd
akili:gi:ɂa||tsi:kili:gi:ɂa|u:kili:gi:sv̌:ɂi|akili:gi:sgó:ɂi|hi:kili:gi|u:kili:gi:sdi|ᎠᎩᎵᎩᎠ||ᏥᎩᎵᎩᎠ|ᎤᎩᎵᎩᏒᎢ|ᎠᎩᎵᎩᏍᎪᎢ|ᎯᎩᎵᎩ|ᎤᎩᎵᎩᏍᏗ|He is removing an animal from pasture|99759|rrd
agi:hlíyo:ga||tsigiɂlíyo:ga|u:gi:hlíyo:tsv̌:ɂi|agi:hlíyo:gó:ɂi|higi:hlíyo:gi|u:gi:hlíyoɂisdi|ᎠᎩᎵᏲᎦ||ᏥᎩᎵᏲᎦ|ᎤᎩᎵᏲᏨᎢ|ᎠᎩᎵᏲᎪᎢ|ᎯᎩᎵᏲᎩ|ᎤᎩᎵᏲᎢᏍᏗ|He is suffering|99760|rrd
akiɂlvɂv:sga||ga:kiɂlvɂv:sga|u:kiɂlvɂnv̌:ɂi|akiɂlvɂv:sgó:ɂi|hakiɂlvɂv:ga|u:kiɂlv:di|ᎠᎩᎸᎥᏍᎦ||ᎦᎩᎸᎥᏍᎦ|ᎤᎩᎸᏅᎢ|ᎠᎩᎸᎥᏍᎪᎢ|ᎭᎩᎸᎥᎦ|ᎤᎩᎸᏗ|He is getting onto it.; He is getting into it.; He is mounting it|99761|rrd
à:kilv̂:diha||ji:yà:kilv̂:diha, gà:kilv̂:diha|ù:kilv̂:tanv̌:ɂi|à:kilv̂:di:sgó:ɂi|hi:yà:kilv̀:da, ha:kilv̀:da|u:kilv̀:dohdi|ᎠᎩᎸᏗᎭ||ᏥᏯᎩᎸᏗᎭ, ᎦᎩᎸᏗᎭ|ᎤᎩᎸᏔᏅᎢ|ᎠᎩᎸᏗᏍᎪᎢ|ᎯᏯᎩᎸᏓ, ᎭᎩᎸᏓ|ᎤᎩᎸᏙᏗ|he's riding it (anything that can be straddled)|72451|ced
agi̋:na|ani:gi̋:na||||||ᎠᎩᎾ|ᎠᏂᎩᎾ||||||young animal (not born in litter or hatched)|72317|ced
à:kisga||jiɂgisga|ù:kisv̌:ɂi|à:kisgó:ɂi|hikihi|u:kihisdi|ᎠᎩᏍᎦ||ᏥᎩᏍᎦ|ᎤᎩᏒᎢ|ᎠᎩᏍᎪᎢ|ᎯᎩᎯ|ᎤᎩᎯᏍᏗ|he's swallowing it|72453|ced
akisga||tsikisga|u:kisv̌:ɂi|akisgó:ɂi|hikihi|u:kihisdi|ᎠᎩᏍᎦ||ᏥᎩᏍᎦ|ᎤᎩᏒᎢ|ᎠᎩᏍᎪᎢ|ᎯᎩᎯ|ᎤᎩᎯᏍᏗ|He is swallowing it|99762|rrd
agì:sdi|||||||ᎠᎩᏍᏗ|||||||something to eat (single solid)|72318|ced
ákisdi|dǐ:kisdi||||||ᎠᎩᏍᏗ|ᏗᎩᏍᏗ||||||pill|72452|ced
