,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
,ᎤᏩᎦᏙᏍᏓᏅᎢ,uwaktosdạnv²³ʔi,,,,u- + a: vowel stem = uwa:  fixed
,ᎠᎦᏙᏍᏗᏍᎪᎢ,aktosdịsgo³ʔi,,,,
,ᎭᎦᏙᏍᏓ,haktosda,,,,
,ᎤᏩᎦᏙᏍᏙᏗ,uwaktosdohdi,,,,u- + a: vowel stem = uwa:  fixed
,,,,,,
ENTRY,ᎤᎦᏛᎲᏍᎦ,ukdv³hvhsga,vt,"He is investigating, examining, checking, exploring it.",x,"Fixed King's typo - 3rd S should be ""u"". Set B verb."
,ᎠᎩᎦᏛᎥᏍᎦ,a¹gịkdv³hvhsga,,,,Set B pronouns don't trigger metathesis
,ᎤᎦᏛᏅᎢ,ukdv³hnv²³ʔi,,,,
,ᎠᎦᏛᎲᏍᎪᎢ,ạkdv³hvhsgo³ʔi,,,,
,ᏣᎦᏛᎲᎦ,tsakdv³hvʔga,,,,
,ᎤᎦᏛᏗ,ukdv³hdi,,,,
Note,"ᎦᎾᎦᏘ <u>ᏚᎦᏛᎲᏍᎪ</u> ᏘᎦᏙᎵ. 
The doctor <u>investigates</u> your eyes. 
[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ]",,,,,
,,,,,,
ENTRY,ᎠᎦᏛᎴᎭ,ạktṿ³ʔleha,vt,"He is going through.;
He is passing a grade.",x,"HFrancis ""doesn't fit"".  Matches CED"
,ᏥᎦᏛᎴᎭ,tsịgạʔtṿ³ʔleha,,,,
,ᎤᎦᏛᎴᏒᎢ,uktṿ³ʔlesv²³ʔi,,,,
,ᎠᎦᏛᎴᏍᎪᎢ,ạktṿ³ʔlesgo³ʔi,,,,
,ᎯᎦᏛᎴᎯ,hịktṿ³ʔlehi,,,,
,ᎤᎦᏛᎴᏍᏗ,uktṿ³ʔlesdi,,,,
,,,,,,
ENTRY,ᎠᎦᏥᏅᎪᎦ,agatsịnṿgoga,vi,It is rusting.,,
,-,,,,,
,ᎤᎦᏥᏅᎪᏨᎢ,ugatsịnṿgotsv²³ʔi,,,,
,ᎠᎦᏥᏅᎪᎪᎢ,agatsịnṿgogo³ʔi,,,,
,ᏩᎦᏥᏅᎪᎡᏍᏗ,wagatsịnṿgoesdi,,,,
,ᎤᎦᏥᏅᎪᎢᏍᏗ,ugatsịnṿgoʔisdi,,,,
,,,,,,
ENTRY,ᎠᎦᏳᎳᏗ,ạgahyụladi,n,"Seine, Net.",,
,,,,,,
ENTRY,ᎠᎦᏴᎵ,ạgạyvli,adj,One thousand.,,
note,"ᎯᎠᏃ ᎾᏂᎥᎩ, ᎠᏍᎪᎯ ᎢᏯᎦᏴᎵ ᎤᎶᏏᎶᏛ ᎠᏍᎪᎯ ᎢᏯᎦᏴᎵ, ᎠᎴ <u>ᎠᎦᏴᎵ</u> ᎤᎦᏴᎳᏥᎶᏛ.
— and the number of them was myriads of myriads, and <u>thousands</u> of thousands —
[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 5:11]",,,,,
,,,,,,
ENTRY,ᎠᎦᏴᎵᎨᎢ,ạgạyvlịgeʔi,n,"Woman, Elderly.",,
,ᏥᎦᏴᎵᎨᎢ,tsịgạyvlịgeʔi,,,,
note,"… ᎠᎴ ᎢᏧᎳ ᎿᏉ <u>ᎠᏂᎦᏴᎵᎨ</u> ᎨᏎᎢ.
… and both were <u>advanced in their days</u>.
[ᎷᎦ 1:7]",,,,,
,,,,,,
ENTRY,ᎠᎧᎯᏱᎠ,ạkạhiyịʔa,vt,He is leaving it (something alive).,,
,ᏥᎧᎢᏱᎠ,tsikạʔiyịʔa,,,,
,ᎤᎧᎯᏴᎢ,ukạhiyv²³ʔi,,,,
,ᎠᎧᎯᏱᏍᎪᎢ,ạkạhiyịsgo³ʔi,,,,
,ᎯᎧᎯᏯ,hikạhiya,,,,
,ᎤᎧᎯᏱᏍᏗ,ukạhiyịsdi,,,,
,,,,,,
ENTRY,ᎠᎧᎲᎠ,ạkạhṿʔa,vt,He is moving it (something solid).;,x,"King shows /kạhṿ/ ""move (solid) with a short ṿ and /kạhv/ ""push (anim)"" with a long v 
I recommend at least 2 entries.  "
,ᏥᎧᎥᎠ,tsịkạʔṿʔa,,,Francis Doc shows plurals + non-plurals.,
,ᎤᎧᎲᏒᎢ,ukạhṿsv²³ʔi,,,Francis shows three non-merged entries for this one.,
,ᎠᎧᎲᏍᎪᎢ,ạkạhṿsgo³ʔi,,,,
,ᎯᎧᎲᎾ,hịkạhṿna,,,,
,ᎤᎧᎲᏍᏗ,ukạhṿsdi,,,,
,,,,,,
ENTRY,ᎠᎧᎲᎠ,ạkạhvʔa,vt,"He is pushing it (something alive) aside.;
He is clearing it (something alive) away.",x,"New entry for ""push, clear away"" 
I recommend at least 2 entries.  "
,ᏥᎧᎥᎠ,tsikạʔvʔa,,,Francis Doc shows plurals + non-plurals.,
,ᎤᎧᎲᏒᎢ,ukạhvsv²³ʔi,,,Francis shows three non-merged entries for this one.,
,ᎠᎧᎲᏍᎪᎢ,ạkạhvsgo³ʔi,,,,
,ᎯᎧᎲᎾ,hikạhvna,,,,
,ᎤᎧᎲᏍᏗ,ukạhvsdi,,,,
,,,,,,
ENTRY,ᎠᎧᎲᎠ,akạhṿʔa,vt,He is moving it (something alive).,,
,ᏥᏯᎧᎥᎠ,tsiyakạʔṿʔa,,,,
,ᎤᎧᎲᏒᎢ,ukạhṿsv²³ʔi,,,,
,ᎠᎧᎲᏍᎪᎢ,akạhṿsgo³ʔi,,,,
,ᎯᏯᎧᎥᎾ,hiyakạʔṿna,,,,
,ᎤᎧᎲᏍᏗ,ukạhṿsdi,,,,
,,,,,,
ENTRY,ᎠᎧᎵᎢᎭ,ạkạliʔịha,vt,He is filling it.,,
,ᏥᎧᎵᎢᎭ,tsịkạliʔịha,,,,
,ᎤᎧᎵᎸᎢ,ukạliʔlv²³ʔi,,,,
,ᎠᎧᎵᎢᎰᎢ,ạkạliʔịho³ʔi,,,,
,ᎯᎧᎵᏣ,hịkạlitsa,,,,
,ᎤᎧᎵᎢᏍᏗ,ukạliʔịsdi,,,,
note,"ᏂᎦᎥᏰᏃ ᏗᎧᎿᏩᏛᏍᏗ ᏚᎵᏁᏨ ᏌᏉᏉ ᎢᎧᏁᏨᎯ <u>ᎠᎧᎵᎢᎭ</u>, ᎯᎠᏉ ᎾᏍᎩ, ᎾᎥ ᎢᏗᏍᏓᏓᎳ ᎯᎨᏳᏎᏍᏗ ᎾᏍᎩᏯ ᏨᏒ ᏂᏣᏓᎨᏳᏒᎢ.
for all the law in one word is <u>fulfilled</u> — in this: ‘Thou shalt love thy neighbour as thyself;’
[ᎨᎴᏏᏱ 5:14]",,,,,
,,,,,,
ENTRY,ᎠᎧᏁᎭ,ạkaneha,vt,He is giving it (something alive) to him.,,
,ᏥᎧᏁᎠ,tsikanẹʔa,,,,
,ᎤᎧᏁᎸᎢ,ukanẹlv²³ʔi,,,,
,ᎠᎧᏁᎰᎢ,ạkaneho³ʔi,,,,
,ᎯᎧᎥᏍᏗ,hikạʔvsdi,,,,
,ᎤᎧᏁᏗ,ukanhdi,,,,
,,,,,,
ENTRY,ᎠᎧᏁᎵ,ạkaneli,vt,He is taking it (something alive) to him.,,
,ᏥᎧᏁᎵ,tsikaneli,,,,
,ᎤᎧᏁᎸᎢ,ukaneʔlv²³ʔi,,,,
,ᎠᎧᏁᎵᏐᎢ,ạkaneliso³ʔi,,,,
,ᎯᎧᏁᎷᎦ,hikaneluga,,,,
,ᎤᎧᏁᎵᏗ,ukanehldi,,,,
,,,,,,
ENTRY,ᎠᎧᏂ,ạkạni,vt,He is returning an animal.,,
,ᏥᎦᏂ,tsịgạʔni,,,,
,ᎤᎧᏁᏒᎢ,ukạnẹsv²³ʔi,,,,
,ᎠᎧᏂᏐᎢ,ạkạniso³ʔi,,,,
,ᎯᎧᏄᎦ,hịkạnuga,,,,
,ᎤᎧᏅᏍᏗ,ukạnṿsdi,,,,
,,,,,,
ENTRY,ᎠᎧᏅᎢ,ạkanvʔi,n,His eye.,,
,ᏓᎧᏅᎢ,dạkanvʔi,,,,
,ᏥᎧᏅᎢ,tsịkanvʔi,,,,
,ᏕᏥᎧᏅᎢ,detsịkanvʔi,,,,
note,"ᎥᎵᏃ, ᏧᏓ ᎢᎬᏱ ᎡᎯ ᎤᏪᏥ ᎠᏍᎦᎾᎯᏳ ᎨᏎ ᏱᎰᏩ <u>ᏓᎧᏅᎢ</u>; ᏱᎰᏩᏃ ᎤᎴᎢ.
and Er, Judah's first-born, is evil in the <u>eyes</u> of Jehovah, and Jehovah doth put him to death.
[ᎼᏏ ᎢᎬᏱᏱ 38:7]",,,,,
,,,,,,
ENTRY,ᎠᎧᏍᎨᏂ,ạkasgeni,n,His hip.,,
,ᏗᎧᏍᎨᏂ,dịkasgeni,,,,
,ᏥᎧᏍᎨᏂ,tsịkasgeni,,,,
