,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
,ᏥᏅᎡᎠ,tsinvʔẹʔa,,,,
,ᎤᏅᎡᎸᎢ,unvʔẹlv²³ʔi,,,,
,ᎠᏅᎡᎰᎢ,ạnvʔeho³ʔi,,,,
,ᎯᏅᎥᏍᏗ,hinṿvsdi,,,,
,ᎤᏅᎡᏗ,unvʔehdi,,,,
,,,,,,
ENTRY,ᎠᏅᏬ,ahnṿwo,n,"Cloth.;
A shirt.",,
,,,,,,
ENTRY,ᎠᏅᏱ,ạnvhyi,n,March (month).,,
,,,,,,
ENTRY,ᎠᏆᎸᏂᎭ,akwạlvʔnịha,vt,He is slapping it.,,
,ᏥᏆᎸᏂᎠ,tsịkwạlvʔnịʔa,,,,
,ᎤᏆᎸᏂᎸᎢ,ukwạlvʔnịʔlv²³ʔi,,,,
,ᎠᏆᎸᏂᎰᎢ,akwạlvʔnịho³ʔi,,,,
,ᎯᏆᎸᏣ,hịkwạlvʔtsa,,,,
,ᎤᏆᎸᏂᏍᏗ,ukwạlvʔnịsdi,,,,
,,,,,,
ENTRY,ᎠᏆᎸᏂᎭ,agwạlvʔnị³ha,vt,"He is spanking him.;
He is paddling him.",,
,ᏥᏯᏆᎸᏂᎠ,tsiyagwạlvʔnịʔa,,,,
,ᎤᏆᎸᏂᎸᎢ,ugwạlvʔnị³ʔlv²³ʔi,,,,
,ᎠᏆᎸᏂᎰᎢ,agwạlvʔnị³ho³ʔi,,,,
,ᎯᏯᏆᎸᏂᎦ,hiyagwạlvʔni³ga,,,,
,ᎤᏆᎸᏂᏍᏗ,ugwạlvʔnih³sdi,,,,
,,,,,,
ENTRY,ᎠᏆᎾᏲᎯᎭ,ạkwạnạyọ³hịha,vi,He is playing cards.,,
,ᏥᏆᎾᏲᎯᎭ,tsịkwạnạyọ³hịha,,,,
,ᎤᏆᎾᏲᎸᎢ,ukwạnạyọ³hlv²³ʔi,,,,
,ᎠᏆᎾᏲᎯᎰᎢ,ạkwạnạyọ³hịho³ʔi,,,,
,ᎯᏆᎾᏲᎭᎦ,hịkwạnạyọ³haga,,,,
,ᎤᏆᎾᏲᏍᏗ,ukwạnạyoh³sdi,,,,
,,,,,,
ENTRY,ᎠᏆᏲᎯᎭ,agwạyohịha,vt,He is flipping it (something alive) with his finger.,,
,ᏥᏯᏆᏲᎢᎭ,tsiyagwạyọʔịha,,,,
,ᎤᏆᏲᎸᎢ,ugwạyohlv²³ʔi,,,,
,ᎠᏆᏲᎯᎰᎢ,agwạyohịho³ʔi,,,,
,ᎯᏯᏆᏲᎦ,hịyagwạyọʔga,,,,
,ᎤᏆᏲᏍᏗ,ugwạyosdi,,,,
,,,,,,
ENTRY,ᎠᏇᎷᏍᎦ,agwelusga,vt,He is putting a ribbon in his hair.,x,
,ᎦᏇᎷᏍᎦ,gagwelusga,,,,
,ᎤᏇᎷᏅᎢ,ugwelụhnv²³ʔi,,,,
,ᎠᏇᎷᏍᎪᎢ,agwelusgo³ʔi,,,,
,ᎭᏇᎷᎦ,hagweluga,,,,
,ᎤᏇᎷᏍᏗ,ugwelusdi,,,,
,,,,,,
ENTRY,ᎠᏇᎷᏍᏗ,ạgwehlusdi,n,Ribbon.,,
,,,,,,
ENTRY,ᎠᏇᏄᎩᎠ,ạgwẹnugịʔa,vt,He is pinching him.,x,
,ᏥᏇᏄᎩᎠ,tsịgwẹnugịʔa,,,"Francis has ""ngi"" not ""nugi"".",
,ᎤᏇᏄᎩᏒᎢ,ugwẹnugịsv²³ʔi,,,,
,ᎠᏇᏄᎩᏍᎪᎢ,ạgwẹnugịsgo³ʔi,,,,
,ᎯᏇᏄᎩ,hịgwẹnugi,,,,
,ᎤᏇᏄᎩᏍᏗ,ugwẹnugịsdi,,,,
,,,,,,
ENTRY,ᎠᏈᏍᏙᎯ ᎦᎸᏙᏗ,ạksdọhị gạlvdohdi,n,Pillow case.,,
,,,,,,
ENTRY,ᎠᏈᏱᎭ,akwịhyịha,vt,He is paying.,,
,ᎦᏈᏱᎭ,gagwịʔyịha,,,,
,ᎤᏈᏴᎲᎢ,ukwịhyṿhv²³ʔi,,,,
,ᎠᏈᏱᏍᎪᎢ,akwịhyịsgo³ʔi,,,,
,ᎭᏈᏯ,hakwịhya,,,,
,ᎤᏈᏴᏗ,ukwịhyhdi,,,,
note,"ᏗᏕᏲᎲᏍᎩ ᎧᎵᏎᏥ ᏚᏩᏎᎢ ᏧᏂᏍᏗᎩᏍᏗ. $1.25 ᏚᏈᏴᎮᎢ. ᏅᎩ ᏚᏩᏎᎢ. ᎭᎳ ᎢᎦ <u>ᏚᏈᏴᎮᎢ</u> ᏂᎦᏓ?
The teacher bought candy for eating. He paid $1.25. He bought four. How much <u>did he pay</u> for all of them?
[ᏣᎳᎩ ᏅᎩᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ]",,,,,
,,,,,,
ENTRY,ᎠᏈᏴᎡᎭ,akwịhyvʔeha,vt,He is paying him.,,
,ᏥᏯᏈᏴᎡᎭ,tsiyagwịʔyvʔeha,,,,
,ᎤᏈᏴᎡᎸᎢ,ukwịhyvʔẹʔlv²³ʔi,,,,
,ᎠᏈᏴᎡᎰᎢ,akwịhyvʔeho³ʔi,,,,
,ᎯᏯᏈᏴᎥᎢ,hiyagwịʔyvʔvʔi,,,,
,ᎤᏈᏴᎡᏗ,ukwịhyvʔehdi,,,,
,,,,,,
ENTRY,ᎠᏌᎧᎠ,ahsakaʔa,vi,He is lightweight.,,
,ᏥᏌᎧᎠ,tsịʔsakaʔa,,,,
,ᎤᏌᎧᎮᏍᏛᎢ,uhsakahẹsdv²³ʔi,,,,
,ᎠᏌᎧᎰᎢ,ahsakaho³ʔi,,,,
,ᎯᏌᎧᎮᏍᏗ,hịʔsakahẹsdi,,,,
,ᎤᏌᎪᏗ,uhsakohdi,,,,
,,,,,,
ENTRY,ᎠᏌᎩᎠ,asạhgiʔa,vi,He is emitting body gas; He is farting,x,
,ᎦᏌᎩᎠ,gasạʔgiʔa,,,,
,ᎤᏌᎩᏒᎢ,usạhgisv²³ʔi,,,,
,ᎠᏌᎩᏍᎪᎢ,asạhgisgo³ʔi,,,,
,ᎭᏌᎩ,hasạhgi,,,,
,ᎤᏌᎩᏍᏗ,usạhgisdi,,,,
,,,,,,
ENTRY,ᎠᏌᎩᎠ,asạgiʔa,vt,He is removing it (something solid) from a shelf.,x,
,ᏥᏌᎩᎠ,tsịsạgiʔa,,,,
,ᎤᏌᎩᏒᎢ,usạgisv²³ʔi,,,,
,ᎠᏌᎩᏍᎪᎢ,asạgisgo³ʔi,,,,
,ᎯᏌᎩ,hịsạgi,,,,
,ᎤᏌᎩᏍᏗ,usạgisdi,,,,
,,,,,,
ENTRY,ᎠᏌᎩᏏᏙᎠ,ahsạgisịdoʔa,vt,He is subtracting.,,
,ᏥᏌᎩᏏᏙᎠ,tsịʔsạgisịdoʔa,,,,
,ᎤᏌᎩᏏᏙᎸᎢ,uhsạgisịdọʔlv²³ʔi,,,,
,ᎠᏌᎩᏏᏙᎰᎢ,ahsạgisịdoho³ʔi,,,,
,ᎯᏌᎩᏏᏓ,hịhsạgisịda,,,,
,ᎤᏌᎩᏏᏙᎠᏍᏗ,uhsạgisịdọʔạsdi,,,,
,,,,,,
ENTRY,ᎠᏌᎲᎠ,ahsạhvʔa,vt,He is pushing it (something solid) aside.,,
,ᏥᏌᎲᎠ,tsịʔsạhvʔa,,,,
,ᎤᏌᎲᏒᎢ,uhsạhvsv²³ʔi,,,,
,ᎠᏌᎲᎥᏍᎪᎢ,ahsạhvʔṿsgo³ʔi,,,,
,ᎯᏌᎲᎾ,hịʔsạhvna,,,,
,ᎤᏌᎲᏍᏗ,uhsạhvsdi,,,,
,,,,,,
ENTRY,ᎠᏌᎲᏍᎦ,ahsạhv³hsga,vt,"He is putting it (something solid) up. on a raised surface, shelf",x,
,ᏥᏌᎲᏍᎦ,tsịʔsạhv³hsga,,,Fixed INF,
,ᎤᏌᏅᎢ,uhsạhnv²³ʔi,,,,
,ᎠᏌᎲᏍᎪᎢ,ahsạhv³hsgo³ʔi,,,,
,ᎯᏌᎲᎦ,hịhsạhv³ʔga,,,,
,ᎤᏐᏗ,uhsohdi,,,,
,,,,,,
ENTRY,ᎠᏌᎳᏓ,ahsạladʔa,vt,"He is raising it.;
He is lifting it.",,
,ᏥᏌᎳᏓ,tsịʔsạladʔa,,,,
,ᎤᏌᎳᏛᎢ,uhsạladv²³ʔi,,,,
,ᎠᏌᎳᏓᏍᎪᎢ,ahsạladʔsgo³ʔi,,,,
,ᎯᏌᎳᏓᎦ,hịʔsạladạga,,,,
,ᎤᏌᎳᏙᏗ,uhsạladohdi,,,,
note,"… ᏇᎵᏲ ᎠᏴ, ᎠᎴ ᏂᎯ ᏂᏣᏁᏨᎾ ᎥᏝ ᎩᎶ <u>ᎤᏌᎳᏙᏗ</u> ᏱᎨᏎᏍᏗ ᎤᏬᏰᏂ ᎠᎴ ᎤᎳᏏᏕᏂ ᏂᎬᎾᏛ ᎢᏥᏈᏱ.
… 'I [am] Pharaoh, and without thee a man doth not <u>lift up</u> his hand and his foot in all the land of Egypt;'
[ᎼᏏ ᎢᎬᏱᏱ 41:44]",,,,,
,,,,,,
ENTRY,ᎠᏌᎳᏗᎠ,ahsạ³ʔldịʔa,vt,He is lifting it.,,
,ᏥᏌᎳᏗᎠ,tsịʔsạ³ʔldịʔa,,,,
,ᎤᏌᎳᏓᏅᎢ,uʔsạ³ʔldạʔnv²³ʔi,,,,
,ᎠᏌᎳᏗᏍᎪᎢ,aʔsạ³ʔldịsgo³ʔi,,,,
,ᎯᏌᎳᏗᎦ,hịʔsạ³ʔldʔga,,,,
,ᎤᏌᎳᏙᏗ,uhsạ³ʔldodi,,,,
note,"… ᎠᎴ ᎦᏙᎯ ᏧᏔᏏᏅᎯ, ᎦᎸᎳᏗ ᎢᏗᏢ <u>ᎤᏌᎳᏓᏅᎩ</u> ᎤᏬᏰᏂ,
… and upon the land, <u>did lift up</u> his hand to the heaven,
[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 10:5]",,,,,
,,,,,,
ENTRY,ᎠᏌᏂᏙᎭ,asạnidoha,vt,He is adding.,,
,ᏥᏌᏂᏙᎭ,tsịsạnidoha,,,,
,ᎤᏌᏂᏙᎸᎢ,usạnidọʔlv²³ʔi,,,,
,ᎠᏌᏂᏙᎰᎢ,asạnidoho³ʔi,,,,
,ᎯᏌᏂᏓ,hịsạnida,,,,
,ᎤᏌᏂᏙᎠᏍᏗ,usạnidọạsdi,,,,
,,,,,,
ENTRY,ᎠᏌᏃ,ạsạno,n,"A skirt.;
A dress.",,
,,,,,,
ENTRY,ᎠᏌᏆᎴᎭ,ạsạgwạ³hleha,vt,He is rolling it.,,
,ᏥᏌᏆᎴᎭ,tsịsạgwạ³hleha,,,,
,ᎤᏌᏆᎴᎸᎢ,usạgwạ³hlẹlv²³ʔi,,,,
,ᎠᏌᏆᎴᎰᎢ,ạsạgwạ³hleho³ʔi,,,,
,ᎯᏌᏆᎴᎦ,hịsạgwạ³hlẹga,,,,
,ᎤᏌᏆᎴᏍᏗ,usạgwạ³hlesdi,,,,
,,,,,,
ENTRY,ᎠᏌᏆᎴᎵ,ạsạgwạlehli,vi,He is rolling along.,,
,ᏥᏌᏆᎴᎵ,tsịsʔạgwạlehli,,,,
,ᎤᏌᏆᎴᎴᏒᎢ,usạgwạlehlẹsv²³ʔi,,,,
,ᎠᏌᏆᎴᎵᏐᎢ,ạsạgwạlehliso³ʔi,,,,
,ᎯᏌᏆᎴᎷᎦ,hịsạgwạlehluʔga,,,,
,ᎤᏌᏆᎴᎸᏍᏗ,usạgwạlehlṿsdi,,,,
,,,,,,
ENTRY,ᎠᏌᏆᎴᏍᎦ,asạgwạlesga,vt,He is rolling it around.,x,
,ᏥᏌᏆᎴᏍᎦ,tsịsạgwạlesga,,,,
,ᎤᏌᏆᎴᎸᎢ,usạgwạlehlv²³ʔi,,,,
,ᎠᏌᏆᎴᏍᎪᎢ,asạgwạlesgo³ʔi,,,,
,ᎯᏌᏆᎴᎦ,hịsạgwạlega,,,,
,ᎤᏌᏆᎴᏗ,usạgwahldi,,,,
,,,,,,
ENTRY,ᎠᏌᏗᎠ,ahsa³dịʔa,vt,He is putting it (something long) up.,,
,ᏥᏌᏗᎠ,tsịʔsa³dịʔa,,,,
,ᎤᏌᏛᎢ,uhsa³dʔv²³ʔi,,,,
,ᎠᏌᏗᏍᎪᎢ,ahsa³dịsgo³ʔi,,,,
,ᎯᏌᏓ,hịhsa³da,,,,
,ᎤᏌᏗᏍᏗ,usa³dịsdi,,,,
,,,,,,
ENTRY,ᎠᏌᏙᎥᏗᎭ,ahsạdoʔṿdịha,vt,He is knocking over a stack of objects.,,
,ᏥᏌᏙᎥᏗᎭ,tsịʔsạdoʔṿdịha,,,,
,ᎤᏌᏙᎥᏔᏅᎢ,uhsạdoʔṿtạnv²³ʔi,,,,
,ᎠᏌᏙᎥᏗᏍᎪᎢ,ahsạdoʔṿdịsgo³ʔi,,,,
,ᎯᏌᏙᎥᏓ,hịhsạdoʔṿda,,,,
,ᎤᏌᏙᎥᏙᏗ,uhsạdoʔṿdodi,,,,
,,,,,,
ENTRY,ᎠᏌᏙᏯᏍᎦ,ạsạdọ³yhsga,vt,He is pushing it.,,
,ᏥᏌᏙᏯᏍᎦ,tsịsʔạdọ³yhsga,,,,
,ᎤᏌᏙᏯᎲᎢ,usạdọ³yhv²³ʔi,,,,
,ᎠᏌᏙᏯᏍᎪᎢ,ạsạdọ³yhsgo³ʔi,,,,
,ᎯᏌᏙᏯᎭ,hịsạdọ³yha,,,,
,ᎤᏌᏙᏯᏍᏗ,usạdọ³yhsdi,,,,
,,,,,,
ENTRY,ᎠᏌᏛᎥᏍᎦ,ahsạdvʔṿhsga,vt,"He is trapping.;
He is setting a trap.",x,Added back /h/ and /ʔ/ to 1st pers sing (alternation). 
,ᏥᏌᏛᎥᏍᎦ,tsịʔsạdvʔṿhsga,,,,
,ᎤᏌᏛᏅᎢ,uhsạdvhnv²³ʔi,,,,
,ᎠᏌᏛᎥᏍᎪᎢ,ahsạdvʔṿhsgo³ʔi,,,,
,ᎯᏌᏛᎥᎦ,hịhsạdvʔṿʔga,,,,
,ᎤᏌᏛᏗ,usạdvhdi,,,,
note,"ᎾᏍᎩ ᎯᎠ ᏄᏂᏪᏒᎩ <u>ᎠᏂᏌᏛᎥᏍᎬᎩ</u> …
and this they said, <u>trying him</u> …
[ᏣᏂ 8:6]",,,,,
,,,,,,
ENTRY,ᎠᏍᎦᎢᎭ,asgạʔịha,vt,He is afraid of.,,
,ᏥᏍᎦᎢᎭ,tsịsgạʔịha,,,,
,ᎤᏍᎦᎸᎢ,usgạʔlv²³ʔi,,,,
,ᎠᏍᎦᎢᎰᎢ,asgạʔịho³ʔi,,,,
,ᎯᏍᎦᏯ,hịsgạya,,,,
,ᎤᏍᎦᏍᏗ,usgạsdi,,,,
note,"ᎠᎴ ᎠᎵ ᎬᏩᎰᏅᎯ ᎦᏙᎪᎢ, ᎠᎴ ᎤᏪᎾᏫᏍᎪ <u>ᎠᏍᎦᎢᎲᎢ</u>.
Here therefore he sweat and did quake <u>for fear</u>.
[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]",,,,,
,,,,,,
ENTRY,ᎠᏍᎦᎵᎦ,asgạ³hlga,vt,He is biting it.,,
,ᏥᏍᎦᎵᎦ,tsịsgạ³hlga,,,,
,ᎤᏍᎦᎵᏨᎢ,usgạ³hltsv²³ʔi,,,,
,ᎠᏍᎦᎵᎪᎢ,asgạ³hlgo³ʔi,,,,
,ᎯᏍᎦᎳ,hịsgạ³hla,,,,
,ᎤᏍᎦᎵᏍᏗ,usgạ³hlsdi,,,,
,,,,,,
ENTRY,ᎠᏍᎦᏃᎳ,asgạnola,vi,He is slow.,,
,ᏥᏍᎦᏃᎳ,tsịsgạnola,,,,
,ᎤᏍᎦᏃᎳᏛᎢ,usgạnolạdv²³ʔi,,,,
,ᎠᏍᎦᏃᎶᎢ,asgạnolo³ʔi,,,,
,ᎯᏍᎦᏃᎴᏍᏗ,hịsgạnolesdi,,,,
,ᎤᏍᎦᏃᎳᏗᏍᏗ,usgạnolạdịsdi,,,,
,,,,,,
ENTRY,ᎠᏍᎦᏅᎦ,asgạnvga,vi,He is misbehaving.,,
,ᏥᏍᎦᏅᎦ,tsịsgạnvga,,,,
,ᎤᏍᎦᏅᏨᎢ,usgạnvʔtsv²³ʔi,,,,
,ᎠᏍᎦᏅᎪᎢ,asgạnvgo³ʔi,,,,
,ᎯᏍᎦᏅᎩ,hịsgạnvʔgi,,,,
,ᎤᏍᎦᏅᎢᏍᏗ,usgạnvʔịsdi,,,,
note,"ᏰᎵᏉᏍᎪᏃᏅ <u>ᎠᎩᏍᎦᏅᏨ</u> ᎦᏴᎩᏙᎵᏍᏗ?
But may <u>my sin</u> be forgiven?
[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]",,,,,
,,,,,,
ENTRY,ᎠᏍᎦᏯ,ạsgaya,n,Man.,,
,ᏥᏍᎦᏯ,tsịsgaya,,,,
note,"ᎯᎠᏃ ᏄᏪᏒ <u>ᎠᏍᎦᏯ</u>.
The <u>Man</u> answered.
[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]",,,,,
,,,,,,
ENTRY,ᎠᏍᎩᎸᎥᏍᎦ,ạsgịlvʔvsga,vt,He is sitting (on something).,x,
,ᎦᏍᎩᎸᎥᏍᎦ,gạsgịlvʔvsga,,,,
,ᎤᏍᎩᎸᏅᎢ,usgịlvʔnv²³ʔi,,,,
,ᎠᏍᎩᎸᎥᏍᎪᎢ,ạsgịlvʔvsgo³ʔi,,,,
,ᎭᏍᎩᎸᎥᎦ,hạsgịlvʔvga,,,,
,ᎤᏍᎩᎸᏗ,usgịlvʔdi,,,,
,,,,,,
ENTRY,ᎠᏍᎩᎾ,ạsgina,n,"Devil.;
Spirit.;
Soul.",,
note,"… <u>ᎠᏍᎩᎾ</u> ᎤᎪᎵᏰᏗᏱ ᎠᏰᎸᏎᎢ.
… to be tempted by <u>the Devil</u>,
[ᎹᏚ 4:1]",,,,,
,,,,,,
ENTRY,ᎠᏍᎩᏘᏍᎦ,asgi³tsga,vt,He is dreaming about it.,,
,ᎦᏍᎩᏘᏍᎦ,gasgi³tsga,,,,
,ᎤᏍᎩᏨᎢ,usgi³tsv²³ʔi,,,,
,ᎠᏍᎩᏘᏍᎪᎢ,asgi³tsgo³ʔi,,,,
,ᎭᏍᎩᏘᏍᎩ,hasgi³tsgi,,,,
,ᎤᏍᎩᏘᏍᏗ,usgi³tsdi,,,,
,,,,,,
ENTRY,ᎠᏍᎩᏨᎥᏍᎦ,ạsgichṿʔvsga,vt,He is dreaming of many things.,x,
,ᎦᏍᎩᏨᎥᏍᎦ,gạsgichṿʔvsga,,,Francis: Metathesis?,
,ᎤᏍᎩᏨᏅᎢ,usgichṿʔnv²³ʔi,,,Changed PAST to Francis form,
,ᎠᏍᎩᏨᎥᏍᎪᎢ,ạsgichṿʔvsgo³ʔi,,,,
,ᎭᏍᎩᏨᎥᎦ,hạsgichṿʔvga,,,,
,ᎤᏍᎩᏨᏗ,usgichvdi,,,,
,,,,,,
ENTRY,ᎠᏍᎪᎩᎠ,asgogịʔa,vt,He is gnawing.,,
,ᏥᏍᎪᎩᎠ,tsịsgogịʔa,,,,
,ᎤᏍᎪᎬᎢ,usgogv²³ʔi,,,,
,ᎠᏍᎪᎩᏍᎪᎢ,asgogʔsgo³ʔi,,,,
,ᎯᏍᎪᎦ,hịsgoga,,,,
,ᎤᏍᎪᎩᏍᏗ,usgogịsdi,,,,
,,,,,,
ENTRY,ᎠᏍᎪᎵ,ạsgoli,n,His head.,,
,ᏥᏍᎪᎵ,tsịsgoli,,,,
note,"… ᎠᎴ ᎠᎵᏍᏚᎶ ᎠᏕᎸ ᏓᎶᏂᎨᏍᏛᎭ <u>ᎠᏍᎪᎵ</u> ᎦᎸᎳᏗᏢ ᏥᎦᏔ …
… and that a Crown hangs over <u>his head</u> …
[ᏧᏁᎶᏍᏗ ᏚᏂᎩᏒᏒᎢ - ᎠᏁᏢᏗᏍᎩ]",,,,,
,,,,,,
ENTRY,ᎠᏍᎪᎸᎦ,asgolṿga,vi,He is fading.,,
,ᏥᏍᎪᎸᎦ,tsịsgolṿga,,,,
,ᎤᏍᎪᎸᏨᎢ,usgolvtsv²³ʔi,,,,
,ᎠᏍᎪᎸᎪᎢ,asgolṿgo³ʔi,,,,
,ᎯᏍᎪᎸᎩ,hịsgolvgi,,,,
,ᎤᏍᎪᎸᎢᏍᏗ,usgolṿʔịsdi,,,,
note,"ᎠᏕᏗᏱᏍᎩᏂ, ᎠᏲᎩ, ᎠᎴ ᎠᎦᏓᎯᏲᎩ, ᎠᎴ <u>ᎠᏍᎪᎸᎩ</u> ᏂᎨᏒᎾ …
I seek an <em>Inheritance incorruptible</em>, <em>undefiled</em>, <em>and that <u>fadeth</u> not away</em> …
[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]",,,,,
,,,,,,
ENTRY,ᎠᏍᎪᏍᎦ,ạsgosga,vi,He is digging.,x,
,ᎦᏍᎪᏍᎦ,gạsgosga,,,,
,ᎤᏍᎪᏒᎢ,usgosv²³ʔi,,,,
,ᎠᏍᎪᏍᎪᎢ,ạsgosgo³ʔi,,,,
,ᎭᏍᎪᎳ,hạsgọla,,,,
,ᎤᏍᎪᏍᏗ,usgosdi,,,,
note,"… ᎠᎴ ᎬᏩᏃᏁᎴ ᎠᎹ ᎠᏢᏗᏱ <u>ᎤᎾᏍᎪᏒ</u> ᎤᎬᏩᎵ, ᎠᎴ ᎯᎠ ᏂᎬᏩᏪᏎᎴᎢ, ᎠᎹ ᎣᏥᏁᏩᏛ.
… the circumstances of the well which <u>they have digged</u>, and say to him, 'We have found water;'
[ᎼᏏ ᎢᎬᏱᏱ 26:32]",,,,,
,,,,,,
ENTRY,ᎠᏍᎫᏓᎩᎠ,asgudạgiʔa,vi,He is cutting the head off of a cabbage.,x,
,ᏥᏍᎫᏓᎩᎠ,tsịsgudạgiʔa,,,Francis has plural IMM form?,
,ᎤᏍᎫᏓᎩᏒᎢ,usgudạgisv²³ʔi,,,,
,ᎠᏍᎫᏓᎩᏍᎪᎢ,asgudạgisgo³ʔi,,,,
,ᎯᏍᎫᏓᎩ,hịsgudạgi,,,,
,ᎤᏍᎫᏓᎩᏍᏗ,usgudạgisdi,,,,
,,,,,,
ENTRY,ᎠᏍᎫᏓᏔᏍᎦ,ạsgudạtasga,vi,It is budding.,x,
,-,,,,,
,ᎤᏍᎫᏓᏔᏅᎢ,usgudạtạhnv²³ʔi,,,,
,ᎠᏍᎫᏓᏔᏍᎪᎢ,ạsgudạtasgo³ʔi,,,,
,ᏩᏍᎫᏓᏔᎦ,wạsgudạtaga,,,,
,ᎤᏍᎫᏓᏙᏍᏗ,usgudạtọsdi,,,,
,,,,,,
ENTRY,ᎠᏍᎬᏓᎨᏂ,ạsgvdạgeni,n,His shin bone.,,
,ᏥᏍᎬᏓᎨᏂ,tsịsgvdạgeni,,,,
,,,,,,
ENTRY,ᎠᏍᏆᎨᏂ,ạsgwạgeni,n,"His side.;
The side of his body.",,
,ᏥᏍᏆᎨᏂ,tsịsgwạgeni,,,,
note,"… ᎠᎴ ᎡᏍᎦ ᎡᏅᎦ ᏦᏰᏂ <u>ᏥᏍᏆᎨᏂ</u> ᏩᏐᎾᏓ …
… and bring thy hand, and put [it] to <u>my side</u> …
[ᏣᏂ 20:27]",,,,,
,,,,,,
ENTRY,ᎠᏍᏆᎵᏍᎦ,ahsgwạ³ʔlihsga,vt,He is cutting it (something long) off.,x HF doesn't accurately show King's root phonetics for this verb,Root is -hsgwạ³ʔli- (-h stem with rising tone on 1st syllable of root)
,ᏥᏍᏆᎵᏍᎦ,tsịʔsgwạ³ʔlihsga,,,,Added /h/ in phonetics where appropriate and glottal stop
,ᎤᏍᏆᎵᏒᎢ,uhsgwạ³ʔlihsv²³ʔi,,,,
,ᎠᏍᏆᎵᏍᎪᎢ,ahsgwạ³ʔlihsgo³ʔi,,,,
,ᎯᏍᏆᎳᎦ,hịhsgwạ³ʔlaʔga,,,,
,ᎤᏍᏆᎵᏍᏗ,uhsgwạ³ʔlihsdi,,,,
note,"ᎢᏳᏃ ᏦᏰᏂ ᎯᎦᏘᏏ ᏕᏦᏕᏍᏗᏍᎨᏍᏗ, <u>ᎯᏍᏆᎵᏍᎨᏍᏗ</u>, ᎠᎴ ᏣᏕᎨᏍᏗ …
‘And, if thy right hand doth cause thee to stumble, <u>cut it off</u>, and cast from thee …
[ᎹᏚ 5:30]",,,,,
,,,,,,
ENTRY,ᎠᏍᏆᎵᏍᎦ,ahsgwạʔli³hsga,vt,He is breaking it (something long).,x HF doesn't accurately show King's root phonetics for this verb,Root is -hsgwạʔli³- (-h stem with rising tone on 2nd syllable of root)
,ᏥᏍᏆᎵᏍᎦ,tsịʔsgwạʔli³hsga,,,,Added /h/ in phonetics where appropriate and glottal stop
,ᎤᏍᏆᎵᏒᎢ,uhsgwạʔli³hsv²³ʔi,,,,
,ᎠᏍᏆᎵᏍᎪᎢ,ahsgwạʔli³hsgo³ʔi,,,,
,ᎯᏍᏆᎳᎦ,hịhsgwạʔla³ʔga,,,,
,ᎤᏍᏆᎵᏍᏗ,uhsgwạʔli³hsdi,,,,
,,,,,,
ENTRY,ᎠᏍᏆᎶᎠ,asgwạlọʔa,vi,He is bumping his head.,x,
,ᏥᏍᏆᎶᎠ,tsịsgwạlọʔa,,,Definition fix. VT=>VI fix,
,ᎤᏍᏆᎶᎥᎢ,usgwạlọʔv²³ʔi,,,,
,ᎠᏍᏆᎶᏍᎪᎢ,asgwạlọsgo³ʔi,,,,
,ᎯᏍᏆᎶᏣ,hịsgwạlọtsa,,,,
,ᎤᏍᏆᎶᏍᏗ,usgwạlọsdi,,,,
,,,,,,
ENTRY,ᎠᏍᏆᎸᎢᎭ,ahsgwạlv³ʔịha,vt,He is hitting someone in the head with it (something long).,,
,ᏥᏍᏆᎸᎢᎭ,tsịʔsgwạlv³ʔịha,,,,
,ᎤᏍᏆᎸᎸᎢ,uhsgwạlv³ʔlv²³ʔi,,,,
,ᎠᏍᏆᎸᎢᎰᎢ,ahsgwạlv³ʔịho³ʔi,,,,
,ᎯᏍᏆᎸᎦ,hịhsgwạlv³ʔga,,,,
,ᎤᏍᏆᎸᎢᏍᏗ,uhsgwạlv³ʔịsdi,,,,
,,,,,,
ENTRY,ᎠᏍᏆᏁᎦᎸᎢ,ạsgwạnegạlṿʔi,n,His abdomen.,,
,ᏥᏍᏆᏁᎦᎸᎢ,tsịsgwạnegạlṿʔi,,,,
,,,,,,
ENTRY,ᎠᏍᏆᏂᎪᏍᎦ,ahsgwạ³nịgosga,vt,He is admiring it.,x,
,ᏥᏍᏆᏂᎪᏍᎦ,tsịʔsgwạ³nịgosga,,,,
,ᎤᏍᏆᏂᎪᏒᎢ,uhsgwạ³nịgosv²³ʔi,,,,
,ᎠᏍᏆᏂᎪᏍᎪᎢ,ahsgwạ³nịgosgo³ʔi,,,,
,ᎯᏍᏆᏂᎪᎵ,hịhsgwạ³nịgọʔli,,,,
,ᎤᏍᏆᏂᎪᎯᏍᏗ,uhsgwạ³nịgohịsdi,,,,
